Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\InternalMailUtil.java,32
,,false,FieldAccessExpr,org.ruoyi.common.mail.utils.Mail,title,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\Mail.java,427
,,false,MethodCallExpr,org.ruoyi.common.mail.utils.Mail,setHtml,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailUtils.java,429
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailUtils.java,284
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailUtils.java,317
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\Mail.java,304
,,false,FieldAccessExpr,org.ruoyi.common.mail.utils.MailAccount,starttlsEnable,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailAccount.java,592
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailUtils.java,269
,,false,ClassOrInterfaceType,org.ruoyi.common.mail.utils.MailAccount,MailAccount,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailUtils.java,200
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailException.java,37
JDK:java.base,N/A,false,MethodCallExpr,java.util.Properties,putAll,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailAccount.java,615
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailUtils.java,434
,,false,FieldAccessExpr,org.ruoyi.common.mail.utils.MailAccount,from,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailAccount.java,627
,,false,FieldAccessExpr,org.ruoyi.common.mail.utils.MailAccount,port,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailAccount.java,201
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Collection,Collection,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailUtils.java,372
,,false,FieldAccessExpr,org.ruoyi.common.mail.utils.MailAccount,debug,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailAccount.java,590
JDK:java.base,N/A,false,MethodCallExpr,java.util.Hashtable,put,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\MailAccount.java,606
org.eclipse.angus:jakarta.mail,2.0.3,false,MethodCallExpr,jakarta.mail.internet.MimeUtility,encodeText,C:\Users\tyin363\Documents\repos\ageerle__ruoyi-ai\ruoyi-common\ruoyi-common-mail\src\main\java\org\ruoyi\common\mail\utils\InternalMailUtil.java,102
