Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Boolean,Boolean,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,53
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,34
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,47
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,110
CLIENT:client-code:N/A:N/A,NameExpr,co.aikar.commands.ACFBrigadierManager,arguments,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,71
CLIENT:client-code:N/A:N/A,FieldAccessExpr,co.aikar.commands.ACFBrigadierManager,manager,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,44
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,103
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Float,Float,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,49
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,55
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,116
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,71
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.function.Predicate,Predicate,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,113
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,contains,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,115
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,167
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,61
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Double,Double,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,51
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,68
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,166
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,34
CLIENT:client-code:N/A:N/A,NameExpr,co.aikar.commands.ACFBrigadierManager,arguments,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,62
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,103
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,34
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,65
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\aikar__commands\brigadier\src\main\java\co.aikar.commands\ACFBrigadierManager.java,58
