Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\WorkflowApi.java,37
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\interceptor\OpenApiAuthenticationInterceptor.java,26
org.springframework:spring-web:jar:6.1.18,MethodCallExpr,org.springframework.web.context.request.RequestContextHolder,getRequestAttributes,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\util\OpenApiSessionUtils.java,24
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Boolean,Boolean,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobApi.java,52
,NameExpr,com.aizuda.snailjob.common.core.constant.SystemConstants.HTTP_PATH,OPENAPI_DELETE_WORKFLOW_V2,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\WorkflowApi.java,34
CLIENT:client-code:N/A:N/A,NameExpr,com.aizuda.snailjob.server.openapi.api.WorkflowBatchApi,workflowBatchService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\WorkflowBatchApi.java,31
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.aizuda.snailjob.server.openapi.service.WorkflowApiService,WorkflowApiService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\WorkflowApi.java,30
,FieldAccessExpr,com.aizuda.snailjob.common.core.constant.SystemConstants.HTTP_PATH,OPENAPI_ADD_JOB,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobApi.java,34
CLIENT:client-code:N/A:N/A,NameExpr,com.aizuda.snailjob.server.openapi.api.WorkflowApi,workflowService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\WorkflowApi.java,38
com.aizuda:snail-job-server-service:jar:1.7.2,ClassOrInterfaceType,com.aizuda.snailjob.server.service.service.JobService,JobService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobApi.java,32
com.aizuda:snail-job-server-service:jar:1.7.2,ClassOrInterfaceType,com.aizuda.snailjob.server.service.service.WorkflowBatchService,WorkflowBatchService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\WorkflowBatchApi.java,27
CLIENT:client-code:N/A:N/A,NameExpr,com.aizuda.snailjob.server.openapi.api.JobApi,jobService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobApi.java,36
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\WorkflowBatchApi.java,30
com.aizuda:snail-job-server-service:jar:1.7.2,MethodCallExpr,com.aizuda.snailjob.server.service.service.WorkflowService,updateWorkFlowStatus,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\WorkflowApi.java,48
org.apache.tomcat.embed:tomcat-embed-core:jar:10.1.39,MethodCallExpr,jakarta.servlet.http.HttpServletRequest,getHeader,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\interceptor\OpenApiAuthenticationInterceptor.java,30
com.aizuda:snail-job-server-service:jar:1.7.2,MethodCallExpr,com.aizuda.snailjob.server.service.service.RetryService,updateRetryStatus,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\RetryApi.java,33
cn.hutool:hutool-core:jar:5.8.32,MethodCallExpr,cn.hutool.core.text.CharSequenceUtil,isBlank,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\interceptor\OpenApiAuthenticationInterceptor.java,36
com.aizuda:snail-job-server-service:jar:1.7.2,MethodCallExpr,com.aizuda.snailjob.server.service.service.WorkflowService,deleteWorkflowByIds,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\WorkflowApi.java,38
com.aizuda:snail-job-server-service:jar:1.7.2,ClassOrInterfaceType,com.aizuda.snailjob.server.service.service.impl.AbstractWorkflowBatchService,AbstractWorkflowBatchService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\service\impl\WorkflowBatchApiServiceImpl.java,16
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\interceptor\OpenApiAuthenticationInterceptor.java,25
org.apache.tomcat.embed:tomcat-embed-core:jar:10.1.39,MethodCallExpr,jakarta.servlet.http.HttpServletRequest,getHeader,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\util\OpenApiSessionUtils.java,25
com.aizuda:snail-job-common-model:jar:1.7.2,ClassOrInterfaceType,com.aizuda.snailjob.model.request.JobApiRequest,JobApiRequest,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobApi.java,40
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.aizuda.snailjob.server.openapi.service.JobBatchApiService,JobBatchApiService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobBatchApi.java,26
,FieldAccessExpr,com.aizuda.snailjob.common.core.constant.SystemConstants.HTTP_PATH,OPENAPI_GET_JOB_BATCH_DETAIL_V2,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobBatchApi.java,28
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.aizuda.snailjob.server.openapi.service.WorkflowBatchApiService,WorkflowBatchApiService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\service\impl\WorkflowBatchApiServiceImpl.java,16
com.aizuda:snail-job-server-service:jar:1.7.2,ClassOrInterfaceType,com.aizuda.snailjob.server.service.service.impl.AbstractJobService,AbstractJobService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\service\impl\JobApiServiceImpl.java,22
com.aizuda:snail-job-common-model:jar:1.7.2,ClassOrInterfaceType,com.aizuda.snailjob.model.response.base.JobResponse,JobResponse,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\service\impl\JobApiServiceImpl.java,34
,FieldAccessExpr,com.aizuda.snailjob.common.core.constant.SystemConstants.HTTP_PATH,OPENAPI_UPDATE_JOB,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobApi.java,39
org.apache.tomcat.embed:tomcat-embed-core:jar:10.1.39,ClassOrInterfaceType,jakarta.servlet.http.HttpServletResponse,HttpServletResponse,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\interceptor\OpenApiAuthenticationInterceptor.java,29
com.aizuda:snail-job-common-model:jar:1.7.2,ClassOrInterfaceType,com.aizuda.snailjob.model.request.WorkflowTriggerApiRequest,WorkflowTriggerApiRequest,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\WorkflowApi.java,42
com.aizuda:snail-job-common-model:jar:1.7.2,ClassOrInterfaceType,com.aizuda.snailjob.model.request.base.JobRequest,JobRequest,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\service\impl\JobApiServiceImpl.java,25
org.apache.tomcat.embed:tomcat-embed-core:jar:10.1.39,ClassOrInterfaceType,jakarta.servlet.http.HttpServletRequest,HttpServletRequest,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\util\OpenApiSessionUtils.java,19
CLIENT:client-code:N/A:N/A,NameExpr,com.aizuda.snailjob.server.openapi.api.RetryApi,retryApiService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\RetryApi.java,28
org.apache.tomcat.embed:tomcat-embed-core:jar:10.1.39,MethodCallExpr,jakarta.servlet.http.HttpServletRequest,getHeader,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\interceptor\OpenApiAuthenticationInterceptor.java,31
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\interceptor\OpenApiAuthenticationInterceptor.java,29
,FieldAccessExpr,com.aizuda.snailjob.common.core.constant.SystemConstants.HTTP_PATH,OPENAPI_GET_JOB_DETAIL_V2,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobApi.java,61
CLIENT:client-code:N/A:N/A,NameExpr,com.aizuda.snailjob.server.openapi.api.JobApi,jobService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobApi.java,58
com.aizuda:snail-job-server-common:jar:1.7.2,ObjectCreationExpr,com.aizuda.snailjob.server.common.exception.SnailJobServerException,SnailJobServerException,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\interceptor\OpenApiAuthenticationInterceptor.java,37
CLIENT:client-code:N/A:N/A,NameExpr,com.aizuda.snailjob.server.openapi.api.RetryApi,retryApiService,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\RetryApi.java,33
com.aizuda:snail-job-datasource-template:jar:1.7.2,ClassOrInterfaceType,com.aizuda.snailjob.template.datasource.persistence.po.Job,Job,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\service\impl\JobApiServiceImpl.java,34
com.aizuda:snail-job-common-core:jar:1.7.2,MethodCallExpr,com.aizuda.snailjob.common.core.enums.HeadersEnum,getKey,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\interceptor\OpenApiAuthenticationInterceptor.java,26
CLIENT:client-code:N/A:N/A,NameExpr,com.aizuda.snailjob.server.openapi.interceptor.OpenApiAuthenticationInterceptor,GROUP_NAME,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\interceptor\OpenApiAuthenticationInterceptor.java,34
com.aizuda:snail-job-server-service:jar:1.7.2,MethodCallExpr,com.aizuda.snailjob.server.service.service.JobService,updateJob,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\api\JobApi.java,41
org.springframework:spring-web:jar:6.1.18,MethodCallExpr,org.springframework.web.context.request.ServletRequestAttributes,getRequest,C:\Users\tyin363\Documents\repos\aizuda__snail-job\snail-job-server-interface\snail-job-server-openapi\src\main\java\com\aizuda\snailjob\server\openapi\util\OpenApiSessionUtils.java,19
