Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible\src\main\java\com\alibaba\ttl\TransmittableThreadLocal.java,725
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,startsWith,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible\src\main\java\com\alibaba\ttl\threadpool\agent\transformlet\helper\TtlTransformletHelper.java,204
CLIENT:client-code,N/A,false,MethodCallExpr,com.alibaba.ttl.TransmittableThreadLocal.Transmitter,restore,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible\src\main\java\com\alibaba\ttl\TtlWrappers.java,405
CLIENT:client-code,N/A,false,MethodCallExpr,com.alibaba.ttl.TransmittableThreadLocal.Transmitter,capture,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible\src\main\java\com\alibaba\ttl\TtlRecursiveAction.java,26
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.InstantiationError,InstantiationError,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible\src\main\java\com\alibaba\ttl\threadpool\agent\TtlAgentHelper.java,133
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,get,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible\src\main\java\com\alibaba\ttl\threadpool\agent\TtlAgentHelper.java,84
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.ExecutorService,isShutdown,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible\src\main\java\com\alibaba\ttl\threadpool\ExecutorServiceTtlWrapper.java,44
JDK:java.base,N/A,false,MethodCallExpr,java.util.Collections,emptyList,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible\src\main\java\com\alibaba\ttl\TtlRunnable.java,195
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.alibaba.ttl.TtlRunnable,TtlRunnable,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible\src\main\java\com\alibaba\ttl\TtlRunnable.java,197
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.WeakHashMap,WeakHashMap,C:\Users\tyin363\Documents\repos\alibaba__transmittable-thread-local\ttl2-compatible\src\main\java\com\alibaba\ttl\threadpool\agent\TtlExtensionTransformletManager.java,60
