Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\apache__opennlp\opennlp-distr\target\filtered-md\opennlp-core\opennlp-ml\opennlp-ml-perceptron\src\main\java\opennlp\tools\ml\perceptron\BinaryPerceptronModelWriter.java,90
,,false,ClassOrInterfaceType,opennlp.tools.ml.perceptron.PerceptronModelReader,PerceptronModelReader,C:\Users\tyin363\Documents\repos\apache__opennlp\opennlp-distr\target\filtered-md\opennlp-core\opennlp-ml\opennlp-ml-perceptron\src\main\java\opennlp\tools\ml\perceptron\PerceptronModelReader.java,50
,,false,ClassOrInterfaceType,opennlp.tools.ml.perceptron.PerceptronModelReader,PerceptronModelReader,C:\Users\tyin363\Documents\repos\apache__opennlp\opennlp-distr\target\filtered-md\opennlp-core\opennlp-ml\opennlp-ml-perceptron\src\main\java\opennlp\tools\ml\perceptron\BinaryPerceptronModelReader.java,29
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\apache__opennlp\opennlp-distr\target\filtered-md\opennlp-core\opennlp-ml\opennlp-ml-perceptron\src\main\java\opennlp\tools\ml\perceptron\SimplePerceptronSequenceTrainer.java,253
,,false,ClassOrInterfaceType,opennlp.tools.ml.perceptron.PerceptronModel,PerceptronModel,C:\Users\tyin363\Documents\repos\apache__opennlp\opennlp-distr\target\filtered-md\opennlp-core\opennlp-ml\opennlp-ml-perceptron\src\main\java\opennlp\tools\ml\perceptron\SimplePerceptronSequenceTrainer.java,408
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__opennlp\opennlp-distr\target\filtered-md\opennlp-core\opennlp-ml\opennlp-ml-perceptron\src\main\java\opennlp\tools\ml\perceptron\SimplePerceptronSequenceTrainer.java,125
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.FileOutputStream,FileOutputStream,C:\Users\tyin363\Documents\repos\apache__opennlp\opennlp-distr\target\filtered-md\opennlp-core\opennlp-ml\opennlp-ml-perceptron\src\main\java\opennlp\tools\ml\perceptron\BinaryPerceptronModelWriter.java,52
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,get,C:\Users\tyin363\Documents\repos\apache__opennlp\opennlp-distr\target\filtered-md\opennlp-core\opennlp-ml\opennlp-ml-perceptron\src\main\java\opennlp\tools\ml\perceptron\SimplePerceptronSequenceTrainer.java,346
org.slf4j:slf4j-api,2.0.17,false,MethodCallExpr,org.slf4j.Logger,info,C:\Users\tyin363\Documents\repos\apache__opennlp\opennlp-distr\target\filtered-md\opennlp-core\opennlp-ml\opennlp-ml-perceptron\src\main\java\opennlp\tools\ml\perceptron\SimplePerceptronSequenceTrainer.java,242
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__opennlp\opennlp-distr\target\filtered-md\opennlp-core\opennlp-ml\opennlp-ml-perceptron\src\main\java\opennlp\tools\ml\perceptron\PerceptronModelWriter.java,65
