Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\ExtractImages.java,346
JDK:java.base,N/A,false,ClassOrInterfaceType,javax.imageio.metadata.IIOMetadataNode,IIOMetadataNode,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\imageio\ImageIOUtil.java,396
JDK:java.base,N/A,false,MethodCallExpr,java.awt.color.ICC_ColorSpace,getProfile,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\imageio\ImageIOUtil.java,302
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\imageio\ImageIOUtil.java,369
JDK:java.base,N/A,false,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\DecompressObjectstreams.java,92
JDK:java.base,N/A,false,FieldAccessExpr,javax.print.attribute.standard.Sides,TWO_SIDED_LONG_EDGE,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\PrintPDF.java,296
JDK:java.base,N/A,false,MethodCallExpr,java.io.InputStream,transferTo,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\ExtractImages.java,396
info.picocli:picocli,4.7.7,false,MethodCallExpr,picocli.CommandLine,addSubcommand,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\PDFBox.java,61
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.File,File,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\Encrypt.java,162
CLIENT:client-code,N/A,false,MethodCallExpr,org.apache.pdfbox.tools.ExtractText,stopProcessing,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\ExtractText.java,297
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\imageio\ImageIOUtil.java,105
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\PDFText2HTML.java,210
JDK:java.base,N/A,false,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\PrintPDF.java,220
CLIENT:client-code,N/A,false,MethodCallExpr,org.apache.pdfbox.tools.TextToPDF,setLineSpacing,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\TextToPDF.java,182
JDK:java.base,N/A,false,ObjectCreationExpr,java.io.FileInputStream,FileInputStream,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\Decrypt.java,95
JDK:java.base,N/A,false,MethodCallExpr,java.awt.print.PrinterJob,lookupPrintServices,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\PrintPDF.java,163
JDK:java.base,N/A,false,MethodCallExpr,javax.imageio.ImageWriteParam,setCompressionType,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\imageio\ImageIOUtil.java,268
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.FileOutputStream,FileOutputStream,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\ExtractImages.java,383
JDK:java.base,N/A,false,ObjectCreationExpr,java.io.FileInputStream,FileInputStream,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\Encrypt.java,164
JDK:java.base,N/A,false,MethodCallExpr,java.lang.System,setProperty,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\OverlayPDF.java,97
JDK:java.base,N/A,false,MethodCallExpr,java.lang.StringBuilder,append,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\PDFText2HTML.java,67
JDK:java.base,N/A,false,MethodCallExpr,java.util.Set,contains,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\PDFText2HTML.java,327
info.picocli:picocli,4.7.7,false,ObjectCreationExpr,picocli.CommandLine,CommandLine,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\Decrypt.java,88
JDK:java.base,N/A,false,ClassOrInterfaceType,javax.imageio.ImageTypeSpecifier,ImageTypeSpecifier,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\imageio\ImageIOUtil.java,228
JDK:java.base,N/A,false,MethodCallExpr,java.lang.StringBuilder,append,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\PDFText2HTML.java,68
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\ExportXFDF.java,41
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.PrintStream,PrintStream,C:\Users\tyin363\Documents\repos\apache__pdfbox\tools\src\main\java\org\apache\pdfbox\tools\Encrypt.java,62
