Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.LanguageDetectorBuilder,withProfiles,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,79
com.optimaize.languagedetector:language-detector,0.6,false,ObjectCreationExpr,com.optimaize.langdetect.profiles.LanguageProfileReader,LanguageProfileReader,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,76
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,134
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.text.UrlTextFilter,getInstance,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,65
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,109
com.optimaize.languagedetector:language-detector,0.6,false,ClassOrInterfaceType,com.optimaize.langdetect.text.TextObjectFactoryBuilder,TextObjectFactoryBuilder,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,63
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.LanguageDetectorBuilder,build,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,79
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.i18n.LdLocale,getLanguage,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,134
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,117
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.apache.stormcrawler.parse.filter.LanguageID,LanguageID,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,56
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,88
com.optimaize.languagedetector:language-detector,0.6,false,ClassOrInterfaceType,com.optimaize.langdetect.DetectedLanguage,DetectedLanguage,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,128
JDK:java.base,N/A,false,MethodCallExpr,java.util.List,size,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,129
JDK:java.base,N/A,false,FieldAccessExpr,java.util.Locale,ENGLISH,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,111
com.optimaize.languagedetector:language-detector,0.6,false,ClassOrInterfaceType,com.optimaize.langdetect.DetectedLanguage,DetectedLanguage,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,132
com.optimaize.languagedetector:language-detector,0.6,false,ClassOrInterfaceType,com.optimaize.langdetect.profiles.LanguageProfileReader,LanguageProfileReader,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,76
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.LanguageDetector,getProbabilities,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,128
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.DetectedLanguage,getLocale,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,134
com.optimaize.languagedetector:language-detector,0.6,false,ClassOrInterfaceType,com.optimaize.langdetect.profiles.LanguageProfile,LanguageProfile,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,76
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,104
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,71
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.text.RemoveMinorityScriptsTextFilter,forThreshold,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,66
com.optimaize.languagedetector:language-detector,0.6,false,ClassOrInterfaceType,com.optimaize.langdetect.text.TextObject,TextObject,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,126
org.slf4j:slf4j-api,2.0.17,true,MethodCallExpr,org.slf4j.Logger,info,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,112
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,82
org.slf4j:slf4j-api,2.0.17,true,MethodCallExpr,org.slf4j.LoggerFactory,getLogger,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,56
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.text.TextObjectFactory,forText,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,126
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,88
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,76
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,length,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,122
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.profiles.LanguageProfileReader,readAllBuiltIn,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,76
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.DetectedLanguage,getProbability,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,133
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,toLowerCase,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,111
com.optimaize.languagedetector:language-detector,0.6,false,ClassOrInterfaceType,com.optimaize.langdetect.LanguageDetector,LanguageDetector,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,58
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.RuntimeException,RuntimeException,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,83
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,length,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,110
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.ngram.NgramExtractors,standard,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,79
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.text.TextObjectFactoryBuilder,build,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,63
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.text.TextObjectFactoryBuilder,maxTextLength,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,63
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.text.TextObjectFactoryBuilder,withTextFilter,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,63
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,69
com.optimaize.languagedetector:language-detector,0.6,false,ClassOrInterfaceType,com.optimaize.langdetect.text.TextObjectFactory,TextObjectFactory,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,62
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,substring,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,123
org.slf4j:slf4j-api,2.0.17,true,ClassOrInterfaceType,org.slf4j.Logger,Logger,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,56
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,88
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,substring,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,111
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,128
com.optimaize.languagedetector:language-detector,0.6,false,MethodCallExpr,com.optimaize.langdetect.LanguageDetectorBuilder,create,C:\Users\tyin363\Documents\repos\apache__stormcrawler\external\langid\src\main\java\org\apache\stormcrawler\parse\filter\LanguageID.java,79
