Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__xmlgraphics-batik\batik-script\src\main\java\org\apache\batik\script\Interpreter.java,38
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.apache.batik.script.InterpreterFactory,InterpreterFactory,C:\Users\tyin363\Documents\repos\apache__xmlgraphics-batik\batik-script\src\main\java\org\apache\batik\script\InterpreterPool.java,63
org.mozilla:rhino,1.7.7,false,ClassOrInterfaceType,org.mozilla.javascript.SecurityController,SecurityController,C:\Users\tyin363\Documents\repos\apache__xmlgraphics-batik\batik-script\src\main\java\org\apache\batik\script\rhino\BatikSecurityController.java,41
JDK:java.base,N/A,false,MethodCallExpr,java.util.Set,iterator,C:\Users\tyin363\Documents\repos\apache__xmlgraphics-batik\batik-script\src\main\java\org\apache\batik\script\ImportInfo.java,137
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\apache__xmlgraphics-batik\batik-script\src\main\java\org\apache\batik\script\rhino\BatikSecurityController.java,64
CLIENT:client-code,N/A,false,ObjectCreationExpr,org.apache.batik.script.InterpreterException,InterpreterException,C:\Users\tyin363\Documents\repos\apache__xmlgraphics-batik\batik-script\src\main\java\org\apache\batik\script\jpython\JPythonInterpreter.java,77
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,endsWith,C:\Users\tyin363\Documents\repos\apache__xmlgraphics-batik\batik-script\src\main\java\org\apache\batik\script\rhino\RhinoClassLoader.java,150
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Throwable,getMessage,C:\Users\tyin363\Documents\repos\apache__xmlgraphics-batik\batik-script\src\main\java\org\apache\batik\script\InterpreterException.java,92
org.mozilla:rhino,1.7.7,false,ClassOrInterfaceType,org.mozilla.javascript.GeneratedClassLoader,GeneratedClassLoader,C:\Users\tyin363\Documents\repos\apache__xmlgraphics-batik\batik-script\src\main\java\org\apache\batik\script\rhino\RhinoClassLoader.java,42
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apache__xmlgraphics-batik\batik-script\src\main\java\org\apache\batik\script\ImportInfo.java,156
