Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apolloconfig__apollo\apollo-build-sql-converter\src\main\java\com\ctrip\framework\apollo\build\sql\converter\SqlStatement.java,72
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.ctrip.framework.apollo.build.sql.converter.SqlStatement,SqlStatement,C:\Users\tyin363\Documents\repos\apolloconfig__apollo\apollo-build-sql-converter\src\main\java\com\ctrip\framework\apollo\build\sql\converter\ApolloH2ConverterUtil.java,44
org.freemarker:freemarker:jar:2.3.32,ClassOrInterfaceType,freemarker.template.Configuration,Configuration,C:\Users\tyin363\Documents\repos\apolloconfig__apollo\apollo-build-sql-converter\src\main\java\com\ctrip\framework\apollo\build\sql\converter\ApolloSqlConverter.java,62
JDK:java.base:N/A:N/A,FieldAccessExpr,java.util.regex.Pattern,CASE_INSENSITIVE,C:\Users\tyin363\Documents\repos\apolloconfig__apollo\apollo-build-sql-converter\src\main\java\com\ctrip\framework\apollo\build\sql\converter\ApolloH2ConverterUtil.java,217
org.freemarker:freemarker:jar:2.3.32,MethodCallExpr,freemarker.template.Template,process,C:\Users\tyin363\Documents\repos\apolloconfig__apollo\apollo-build-sql-converter\src\main\java\com\ctrip\framework\apollo\build\sql\converter\ApolloSqlConverterUtil.java,95
org.freemarker:freemarker:jar:2.3.32,ClassOrInterfaceType,freemarker.template.Template,Template,C:\Users\tyin363\Documents\repos\apolloconfig__apollo\apollo-build-sql-converter\src\main\java\com\ctrip\framework\apollo\build\sql\converter\ApolloSqlConverterUtil.java,92
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.StringJoiner,StringJoiner,C:\Users\tyin363\Documents\repos\apolloconfig__apollo\apollo-build-sql-converter\src\main\java\com\ctrip\framework\apollo\build\sql\converter\SqlTemplateGist.java,69
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apolloconfig__apollo\apollo-build-sql-converter\src\main\java\com\ctrip\framework\apollo\build\sql\converter\SqlTemplateGist.java,83
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\apolloconfig__apollo\apollo-build-sql-converter\src\main\java\com\ctrip\framework\apollo\build\sql\converter\ApolloSqlConverterUtil.java,135
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.ctrip.framework.apollo.build.sql.converter.ApolloSqlConverterUtil,listSorted,C:\Users\tyin363\Documents\repos\apolloconfig__apollo\apollo-build-sql-converter\src\main\java\com\ctrip\framework\apollo\build\sql\converter\ApolloSqlConverterUtil.java,191
