Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\SecurityActions.java,91
CLIENT:client-code,N/A,false,MethodCallExpr,org.jboss.arquillian.testenricher.ejb.EJBInjectionEnricher,lookupEJB,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\EJBInjectionEnricher.java,150
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.ClassLoader,ClassLoader,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\SecurityActions.java,92
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.reflect.Field,Field,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\EJBInjectionEnricher.java,104
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\EJBInjectionEnricher.java,269
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.jboss.arquillian.testenricher.ejb.EJBInjectionEnricher,EJBInjectionEnricher,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\EJBInjectionEnricher.java,59
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\EJBInjectionEnricher.java,98
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\EJBInjectionEnricher.java,150
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,valueOf,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\EJBInjectionEnricher.java,163
CLIENT:client-code,N/A,false,MethodCallExpr,org.jboss.arquillian.testenricher.ejb.EJBInjectionEnricher,createContext,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\EJBInjectionEnricher.java,55
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.reflect.Constructor,Constructor,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\SecurityActions.java,139
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Class,getSimpleName,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\EJBInjectionEnricher.java,239
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\SecurityActions.java,81
org.jboss.shrinkwrap:shrinkwrap-api,1.2.6,true,ClassOrInterfaceType,org.jboss.shrinkwrap.api.Archive,Archive,C:\Users\tyin363\Documents\repos\arquillian__arquillian-core\testenrichers\ejb\src\main\java\org\jboss\arquillian\testenricher\ejb\client\EJBEnricherArchiveAppender.java,35
