Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.redisson:redisson,3.19.0,true,ClassOrInterfaceType,org.redisson.Redisson,Redisson,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\spring\boot\autoconfigure\RedissonLockAutoConfiguration.java,33
org.redisson:redisson,3.19.0,true,ClassOrInterfaceType,org.redisson.api.RLock,RLock,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\executor\RedissonLockExecutor.java,44
com.baomidou:lock4j-core,2.2.7,false,ClassOrInterfaceType,com.baomidou.lock.LockKeyBuilder,LockKeyBuilder,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\annotation\RedissonLock.java,80
org.redisson:redisson,3.19.0,true,ClassOrInterfaceType,org.redisson.api.RLock,RLock,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\executor\RedissonLockExecutor.java,46
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\executor\RedissonLockExecutor.java,44
org.redisson:redisson,3.19.0,true,MethodCallExpr,org.redisson.api.RLock,isHeldByCurrentThread,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\executor\RedissonLockExecutor.java,56
org.redisson:redisson,3.19.0,true,ClassOrInterfaceType,org.redisson.api.RLock,RLock,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\executor\RedissonLockExecutor.java,34
org.redisson:redisson,3.19.0,true,ClassOrInterfaceType,org.redisson.api.RedissonClient,RedissonClient,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\executor\RedissonLockExecutor.java,36
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\annotation\RedissonLock.java,36
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\annotation\RedissonLock.java,73
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.InterruptedException,InterruptedException,C:\Users\tyin363\Documents\repos\baomidou__lock4j\lock4j-redisson-spring-boot-starter\src\main\java\com\baomidou\lock\executor\RedissonLockExecutor.java,49
