Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\entity\User.java,17
JDK:java.base,N/A,false,FieldAccessExpr,java.lang.System,err,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\MybatisPlusConfig.java,27
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Random,Random,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\MybatisPlusConfig.java,30
com.baomidou:mybatis-plus-extension,3.5.12,true,ObjectCreationExpr,com.baomidou.mybatisplus.extension.plugins.inner.DynamicTableNameInnerInterceptor,DynamicTableNameInnerInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\MybatisPlusConfig.java,23
org.springframework.boot:spring-boot,3.5.0,true,MethodCallExpr,org.springframework.boot.SpringApplication,run,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\DynamicTableNameApplication.java,10
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.ThreadLocal,ThreadLocal,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\RequestDataHelper.java,14
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\RequestDataHelper.java,32
com.baomidou:mybatis-plus-core,3.5.12,true,ClassOrInterfaceType,com.baomidou.mybatisplus.core.mapper.BaseMapper,BaseMapper,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\mapper\UserMapper.java,15
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\MybatisPlusConfig.java,26
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\DynamicTableNameApplication.java,9
com.baomidou:mybatis-plus-core,3.5.12,true,MethodCallExpr,com.baomidou.mybatisplus.core.toolkit.CollectionUtils,isNotEmpty,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\RequestDataHelper.java,33
com.baomidou:mybatis-plus-extension,3.5.12,true,ClassOrInterfaceType,com.baomidou.mybatisplus.extension.plugins.MybatisPlusInterceptor,MybatisPlusInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\MybatisPlusConfig.java,21
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\RequestDataHelper.java,14
CLIENT:client-code,N/A,false,MethodCallExpr,com.baomidou.mybatisplus.samples.dytablename.config.RequestDataHelper,getRequestData,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\RequestDataHelper.java,32
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.baomidou.mybatisplus.samples.dytablename.entity.User,User,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\mapper\UserMapper.java,15
com.baomidou:mybatis-plus-extension,3.5.12,true,ObjectCreationExpr,com.baomidou.mybatisplus.extension.plugins.MybatisPlusInterceptor,MybatisPlusInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\MybatisPlusConfig.java,22
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\MybatisPlusConfig.java,26
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\RequestDataHelper.java,44
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\RequestDataHelper.java,44
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.Random,Random,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\MybatisPlusConfig.java,30
CLIENT:client-code,N/A,false,MethodCallExpr,com.baomidou.mybatisplus.samples.dytablename.config.RequestDataHelper,getRequestData,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-dynamic-tablename\src\main\java\com\baomidou\mybatisplus\samples\dytablename\config\MybatisPlusConfig.java,26
