Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.util.Collection,stream,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\injector\MysqlInsertAllBatch.java,43
com.baomidou:mybatis-plus-extension,3.5.12,true,ClassOrInterfaceType,com.baomidou.mybatisplus.extension.plugins.MybatisPlusInterceptor,MybatisPlusInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\config\MybatisPlusConfig.java,35
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\entity\TestData.java,25
com.baomidou:mybatis-plus-core,3.5.12,true,MethodReferenceExpr,com.baomidou.mybatisplus.core.metadata.TableFieldInfo,getColumn,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\injector\MysqlInsertAllBatch.java,43
org.springframework.boot:spring-boot,3.5.0,true,MethodCallExpr,org.springframework.boot.SpringApplication,run,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\MysqlApplication.java,10
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\mapper\TestDataMapper.java,20
JDK:java.base,N/A,false,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\config\MysqlMetaObjectHandler.java,35
JDK:java.base,N/A,false,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\config\MysqlMetaObjectHandler.java,33
JDK:java.base,N/A,false,ClassOrInterfaceType,java.time.LocalDateTime,LocalDateTime,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\config\MysqlMetaObjectHandler.java,26
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.baomidou.mybatisplus.samples.mysql.injector.MysqlInsertAllBatch,MysqlInsertAllBatch,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\config\MybatisPlusConfig.java,55
com.baomidou:mybatis-plus-extension,3.5.12,true,ClassOrInterfaceType,com.baomidou.mybatisplus.extension.ddl.DdlScript,DdlScript,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\config\DdlConfig.java,17
com.baomidou:mybatis-plus-extension,3.5.12,true,ClassOrInterfaceType,com.baomidou.mybatisplus.extension.injector.methods.InsertBatchSomeColumn,InsertBatchSomeColumn,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\config\MybatisPlusConfig.java,51
com.baomidou:mybatis-plus-extension,3.5.12,true,ObjectCreationExpr,com.baomidou.mybatisplus.extension.plugins.inner.OptimisticLockerInnerInterceptor,OptimisticLockerInnerInterceptor,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\config\MybatisPlusConfig.java,37
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.baomidou.mybatisplus.samples.mysql.entity.TestData,TestData,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-mysql\src\main\java\com\baomidou\mybatisplus\samples\mysql\mapper\TestDataMapper.java,20
