Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\entity\Woman.java,19
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.baomidou.mybatisplus.samples.resultmap.entity.Woman,Woman,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\mapper\WomanMapper.java,12
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\entity\Woman.java,27
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\mapper\ChildMapper.java,15
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.baomidou.mybatisplus.samples.resultmap.entity.Child,Child,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\entity\Man.java,28
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\mapper\ManMapper.java,12
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\mapper\ChildMapper.java,21
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.baomidou.mybatisplus.samples.resultmap.entity.Woman,Woman,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\mapper\WomanMapper.java,10
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\entity\Child.java,17
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.baomidou.mybatisplus.samples.resultmap.entity.Man,Man,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\entity\Child.java,24
com.baomidou:mybatis-plus-core,3.5.12,true,ClassOrInterfaceType,com.baomidou.mybatisplus.core.mapper.BaseMapper,BaseMapper,C:\Users\tyin363\Documents\repos\baomidou__mybatis-plus-samples\mybatis-plus-sample-resultmap\src\main\java\com\baomidou\mybatisplus\samples\resultmap\mapper\ChildMapper.java,13
