Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.Future,get,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertExecutor.java,91
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Date,Date,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertExecutor.java,78
io.github.bes2008.solution.sqlhelper:sqlhelper-common,5.0.0,false,ClassOrInterfaceType,com.jn.sqlhelper.common.connection.ConnectionFactory,ConnectionFactory,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertTask.java,30
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.jn.sqlhelper.batchinsert.BatchInsertResult,BatchInsertResult,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertTask.java,37
CLIENT:client-code,N/A,false,FieldAccessExpr,com.jn.sqlhelper.batchinsert.BatchInsertResult,expectResult,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertResult.java,24
io.github.bes2008.solution.langx:langx-java,5.4.0,false,MethodCallExpr,com.jn.langx.util.random.IRandom,nextInt,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertExecutor.java,78
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertResult.java,22
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.SQLException,SQLException,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertTask.java,35
io.github.bes2008.solution.langx:langx-java,5.4.0,false,FieldAccessExpr,com.jn.langx.util.Dates,yyyy_MM_dd_HH_mm_ss,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertExecutor.java,78
JDK:java.base,N/A,false,MethodCallExpr,java.util.Calendar,getTimeInMillis,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertExecutor.java,67
org.slf4j:slf4j-api,1.7.0,false,ClassOrInterfaceType,org.slf4j.Logger,Logger,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertExecutor.java,30
CLIENT:client-code,N/A,false,FieldAccessExpr,com.jn.sqlhelper.batchinsert.BatchInsertExecutor,start,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertExecutor.java,62
CLIENT:client-code,N/A,false,MethodCallExpr,com.jn.sqlhelper.batchinsert.BatchInsertTask,setConnFactory,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertExecutor.java,84
io.github.bes2008.solution.sqlhelper:sqlhelper-common,5.0.0,false,ClassOrInterfaceType,com.jn.sqlhelper.common.connection.ConnectionFactory,ConnectionFactory,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertExecutor.java,51
io.github.bes2008.solution.langx:langx-java,5.4.0,false,MethodCallExpr,com.jn.langx.util.Dates,format,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-batchinsert\src\main\java\com\jn\sqlhelper\batchinsert\BatchInsertExecutor.java,102
