Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.util.function.Supplier,get,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-mybatisplus-commons\src\main\java\org\mybatis\logging\Slf4jMyBatisLoggerAdapter.java,95
org.slf4j:slf4j-api,1.7.0,false,MethodCallExpr,org.slf4j.Logger,error,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-mybatisplus-commons\src\main\java\org\mybatis\logging\Slf4jMyBatisLoggerAdapter.java,172
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-mybatisplus-commons\src\main\java\org\mybatis\logging\Logger.java,318
CLIENT:client-code,N/A,false,MethodCallExpr,org.mybatis.logging.Slf4jMyBatisLoggerAdapter,debug,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-mybatisplus-commons\src\main\java\org\mybatis\logging\Slf4jMyBatisLoggerAdapter.java,95
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-mybatisplus-commons\src\main\java\org\mybatis\logging\Slf4jMyBatisLoggerAdapter.java,136
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-mybatisplus-commons\src\main\java\org\mybatis\logging\Logger.java,359
org.slf4j:slf4j-api,1.7.0,false,MethodCallExpr,org.slf4j.Logger,debug,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-mybatisplus-commons\src\main\java\org\mybatis\logging\Slf4jMyBatisLoggerAdapter.java,70
org.slf4j:slf4j-api,1.7.0,false,MethodCallExpr,org.slf4j.Logger,isWarnEnabled,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-mybatisplus-commons\src\main\java\org\mybatis\logging\Slf4jMyBatisLoggerAdapter.java,132
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-mybatisplus-commons\src\main\java\org\mybatis\logging\Logger.java,67
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bes2008__sqlhelper\sqlhelper-mybatisplus-commons\src\main\java\org\mybatis\logging\Logger.java,334
