Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.github.binarywang:weixin-java-miniapp,4.7.7.B,false,ObjectCreationExpr,cn.binarywang.wx.miniapp.api.impl.WxMaServiceJoddHttpImpl,WxMaServiceJoddHttpImpl,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\config\WxMaServiceAutoConfiguration.java,42
,,false,ClassOrInterfaceType,com.binarywang.solon.wxjava.miniapp.properties.WxMaProperties,WxMaProperties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\integration\WxMiniappPluginImpl.java,17
org.noear:solon,3.2.0,false,ClassOrInterfaceType,org.noear.solon.core.AppContext,AppContext,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\config\storage\WxMaInRedissonConfigStorageConfiguration.java,29
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.binarywang.solon.wxjava.miniapp.config.WxMaServiceAutoConfiguration,WxMaServiceAutoConfiguration,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\integration\WxMiniappPluginImpl.java,19
,,false,ClassOrInterfaceType,com.binarywang.solon.wxjava.miniapp.properties.WxMaProperties,WxMaProperties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\config\storage\WxMaInJedisConfigStorageConfiguration.java,28
org.redisson:redisson,3.23.3,false,ClassOrInterfaceType,org.redisson.api.RedissonClient,RedissonClient,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\config\storage\WxMaInRedissonConfigStorageConfiguration.java,44
,,false,FieldAccessExpr,com.binarywang.solon.wxjava.miniapp.properties.WxMaProperties,PREFIX,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\config\storage\WxMaInRedissonConfigStorageConfiguration.java,23
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\integration\WxMiniappPluginImpl.java,16
org.redisson:redisson,3.23.3,false,ClassOrInterfaceType,org.redisson.config.Config,Config,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\config\storage\WxMaInRedissonConfigStorageConfiguration.java,53
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\properties\WxMaProperties.java,89
org.redisson:redisson,3.23.3,false,MethodCallExpr,org.redisson.Redisson,create,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\config\storage\WxMaInRedissonConfigStorageConfiguration.java,59
com.github.binarywang:weixin-java-miniapp,4.7.7.B,false,ClassOrInterfaceType,cn.binarywang.wx.miniapp.api.impl.WxMaServiceOkHttpImpl,WxMaServiceOkHttpImpl,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\config\WxMaServiceAutoConfiguration.java,39
,,false,ClassOrInterfaceType,com.binarywang.solon.wxjava.miniapp.properties.WxMaProperties,WxMaProperties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\config\storage\WxMaInMemoryConfigStorageConfiguration.java,20
com.github.binarywang:weixin-java-miniapp,4.7.7.B,false,ClassOrInterfaceType,cn.binarywang.wx.miniapp.api.impl.WxMaServiceImpl,WxMaServiceImpl,C:\Users\tyin363\Documents\repos\binarywang__WxJava\solon-plugins\wx-java-miniapp-solon-plugin\src\main\java\com\binarywang\solon\wxjava\miniapp\config\WxMaServiceAutoConfiguration.java,48
