Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.binarywang.spring.starter.wxjava.pay.config.WxPayAutoConfiguration,properties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,49
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\properties\WxPayProperties.java,65
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.binarywang.spring.starter.wxjava.pay.config.WxPayAutoConfiguration,properties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,47
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\properties\WxPayProperties.java,30
com.github.binarywang:weixin-java-pay:jar:4.7.7.B,ClassOrInterfaceType,com.github.binarywang.wxpay.service.WxPayService,WxPayService,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,43
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\properties\WxPayProperties.java,75
com.github.binarywang:weixin-java-pay:jar:4.7.7.B,MethodCallExpr,com.github.binarywang.wxpay.service.impl.BaseWxPayServiceImpl,setConfig,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,63
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\properties\WxPayProperties.java,40
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\properties\WxPayProperties.java,50
,ClassOrInterfaceType,com.binarywang.spring.starter.wxjava.pay.properties.WxPayProperties,WxPayProperties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,29
com.github.binarywang:weixin-java-pay:jar:4.7.7.B,ObjectCreationExpr,com.github.binarywang.wxpay.service.impl.WxPayServiceImpl,WxPayServiceImpl,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,44
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.binarywang.spring.starter.wxjava.pay.config.WxPayAutoConfiguration,properties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,61
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.binarywang.spring.starter.wxjava.pay.config.WxPayAutoConfiguration,properties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,59
,ClassOrInterfaceType,com.binarywang.spring.starter.wxjava.pay.properties.WxPayProperties,WxPayProperties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,25
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.binarywang.spring.starter.wxjava.pay.config.WxPayAutoConfiguration,properties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,57
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\properties\WxPayProperties.java,25
com.github.binarywang:weixin-java-pay:jar:4.7.7.B,ObjectCreationExpr,com.github.binarywang.wxpay.config.WxPayConfig,WxPayConfig,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,45
com.github.binarywang:weixin-java-pay:jar:4.7.7.B,ClassOrInterfaceType,com.github.binarywang.wxpay.service.impl.WxPayServiceImpl,WxPayServiceImpl,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,44
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.binarywang.spring.starter.wxjava.pay.config.WxPayAutoConfiguration,properties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,55
com.github.binarywang:weixin-java-pay:jar:4.7.7.B,ClassOrInterfaceType,com.github.binarywang.wxpay.service.WxPayService,WxPayService,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,26
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\properties\WxPayProperties.java,60
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\properties\WxPayProperties.java,85
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.binarywang.spring.starter.wxjava.pay.config.WxPayAutoConfiguration,properties,C:\Users\tyin363\Documents\repos\binarywang__WxJava\spring-boot-starters\wx-java-pay-spring-boot-starter\src\main\java\com\binarywang\spring\starter\wxjava\pay\config\WxPayAutoConfiguration.java,51
