Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastService.java,300
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,contains,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastService.java,294
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastService.java,401
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Enum,name,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastOutputProperties.java,58
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastService.java,335
,,false,FieldAccessExpr,org.biojava.nbio.ws.hmmer.HmmerResult,dcl,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\hmmer\HmmerResult.java,90
net.sf.json-lib:json-lib,2.4,false,MethodCallExpr,net.sf.json.JSONObject,get,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\hmmer\RemoteHmmerScan.java,205
JDK:java.base,N/A,false,MethodCallExpr,java.net.URLConnection,getOutputStream,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastService.java,361
JDK:java.base,N/A,false,MethodCallExpr,java.io.Writer,write,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastService.java,120
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastService.java,232
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\hmmer\RemoteHmmerScan.java,205
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastService.java,364
,,false,MethodCallExpr,org.biojava.nbio.ws.alignment.qblast.NCBIQBlastAlignmentProperties,getBlastGapCreation,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastAlignmentProperties.java,290
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.OutputStreamWriter,OutputStreamWriter,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastService.java,275
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastService.java,202
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Enum,name,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\qblast\NCBIQBlastOutputProperties.java,59
net.sf.json-lib:json-lib,2.4,false,MethodCallExpr,net.sf.json.JSONObject,get,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\hmmer\RemoteHmmerScan.java,204
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\biojava__biojava\biojava-ws\src\main\java\org\biojava\nbio\ws\alignment\RemotePairwiseAlignmentProperties.java,66
