Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Number,doubleValue,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,41
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Number,doubleValue,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,39
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,27
CLIENT:client-code:N/A:N/A,NameExpr,io.github.bonigarcia.Calculator,stack,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,32
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Deque,removeLast,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,32
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.github.bonigarcia.Calculator,push,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,43
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Deque,Deque,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,26
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Arrays,asList,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,27
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Number,doubleValue,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,37
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Number,Number,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,31
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Number,doubleValue,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,35
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,27
CLIENT:client-code:N/A:N/A,NameExpr,io.github.bonigarcia.Calculator,OPS,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,30
CLIENT:client-code:N/A:N/A,NameExpr,io.github.bonigarcia.Calculator,stack,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,50
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.LinkedList,LinkedList,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,26
CLIENT:client-code:N/A:N/A,NameExpr,io.github.bonigarcia.Calculator,stack,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,45
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,29
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Number,Number,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,49
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Deque,getLast,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,50
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Number,Number,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,45
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Collection,isEmpty,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,32
CLIENT:client-code:N/A:N/A,NameExpr,io.github.bonigarcia.Calculator,stack,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,31
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Deque,removeLast,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,31
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Object,equals,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,38
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.List,contains,C:\Users\tyin363\Documents\repos\bonigarcia__mastering-junit5\junit5-cucumber\src\main\java\io\github\bonigarcia\Calculator.java,30
