Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\BrowserBuilder.java,33
org.junit.jupiter:junit-jupiter-api:jar:5.13.4,ClassOrInterfaceType,org.junit.jupiter.api.extension.AfterTestExecutionCallback,AfterTestExecutionCallback,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\SeleniumJupiter.java,85
org.seleniumhq.selenium:selenium-remote-driver:jar:4.13.0,ClassOrInterfaceType,org.openqa.selenium.remote.RemoteWebDriver,RemoteWebDriver,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\SeleniumJupiter.java,519
org.seleniumhq.selenium:selenium-api:jar:4.34.0,ClassOrInterfaceType,org.openqa.selenium.Capabilities,Capabilities,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\CapabilitiesHandler.java,309
CLIENT:client-code:N/A:N/A,NameExpr,io.github.bonigarcia.seljup.SeleniumJupiter,wdmMap,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\SeleniumJupiter.java,194
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.reflect.Parameter,getAnnotation,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\CapabilitiesHandler.java,288
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.invoke.MethodHandles.Lookup,lookupClass,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\OutputHandler.java,46
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Optional,Optional,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\SeleniumJupiter.java,329
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.reflect.Method,Method,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\CapabilitiesHandler.java,284
org.slf4j:slf4j-api:jar:2.0.17,MethodCallExpr,org.slf4j.Logger,trace,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\SeleniumJupiter.java,151
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\OutputHandler.java,68
io.github.bonigarcia:webdrivermanager:jar:6.2.0,MethodCallExpr,io.github.bonigarcia.wdm.WebDriverManager,getInstance,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\SeleniumJupiter.java,355
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\SeleniumJupiter.java,149
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.github.bonigarcia.seljup.BrowserBuilder,BrowserBuilder,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\BrowserBuilder.java,51
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bonigarcia__selenium-jupiter\src\main\java\io\github\bonigarcia\seljup\BrowserScenarioTest.java,208
