Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,,false,FieldAccessExpr,de.bsommerfeld.pathetic.api.pathing.configuration.PathfinderConfiguration,maxLength,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\configuration\PathfinderConfiguration.java,179
,,false,FieldAccessExpr,de.bsommerfeld.pathetic.api.wrapper.PathPosition,y,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\wrapper\PathPosition.java,166
,,false,ObjectCreationExpr,de.bsommerfeld.pathetic.api.wrapper.PathVector,PathVector,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\wrapper\PathVector.java,162
,,false,MethodCallExpr,de.bsommerfeld.pathetic.api.pathing.processing.Processor,finalizeSearch,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\processing\Validators.java,281
,,false,MethodCallExpr,de.bsommerfeld.pathetic.api.util.NumberUtils,interpolate,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\wrapper\PathPosition.java,39
,,false,ClassOrInterfaceType,de.bsommerfeld.pathetic.api.wrapper.PathVector,PathVector,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\wrapper\PathVector.java,142
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.CloneNotSupportedException,CloneNotSupportedException,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\wrapper\PathVector.java,183
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\configuration\PathfinderConfiguration.java,88
,,false,MethodCallExpr,de.bsommerfeld.pathetic.api.wrapper.PathPosition,getFlooredX,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\wrapper\PathPosition.java,294
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\NeighborStrategies.java,38
,,false,ClassOrInterfaceType,de.bsommerfeld.pathetic.api.pathing.processing.NodeValidationProcessor,NodeValidationProcessor,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\processing\Validators.java,171
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\processing\context\SearchContext.java,54
,,false,FieldAccessExpr,de.bsommerfeld.pathetic.api.wrapper.PathPosition,x,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\wrapper\PathPosition.java,135
JDK:java.base,N/A,false,MethodCallExpr,java.util.Objects,requireNonNull,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\configuration\PathfinderConfiguration.java,376
,,false,MethodCallExpr,de.bsommerfeld.pathetic.api.wrapper.PathPosition,toVector,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\heuristic\LinearHeuristicStrategy.java,52
,,false,FieldAccessExpr,de.bsommerfeld.pathetic.api.wrapper.PathPosition,z,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\wrapper\PathPosition.java,327
,,false,FieldAccessExpr,de.bsommerfeld.pathetic.api.pathing.heuristic.HeuristicWeights,heightWeight,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\heuristic\HeuristicWeights.java,105
,,false,ClassOrInterfaceType,de.bsommerfeld.pathetic.api.wrapper.PathVector,PathVector,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\heuristic\LinearHeuristicStrategy.java,55
,,false,MethodCallExpr,de.bsommerfeld.pathetic.api.wrapper.PathPosition,getFlooredZ,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\wrapper\PathPosition.java,289
,,false,ClassOrInterfaceType,de.bsommerfeld.pathetic.api.pathing.configuration.PathfinderConfiguration,PathfinderConfiguration,C:\Users\tyin363\Documents\repos\bsommerfeld__pathetic\api\src\main\java\de\bsommerfeld\pathetic\api\pathing\configuration\PathfinderConfiguration.java,176
