Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.bucket4j:bucket4j_jdk17-core,8.14.0,false,ClassOrInterfaceType,io.github.bucket4j.distributed.proxy.ClientSideConfig,ClientSideConfig,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,45
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\consts\LuaScripts.java,29
com.bucket4j:bucket4j_jdk17-core,8.14.0,false,ClassOrInterfaceType,io.github.bucket4j.distributed.ExpirationAfterWriteStrategy,ExpirationAfterWriteStrategy,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,51
com.bucket4j:bucket4j_jdk17-core,8.14.0,false,ClassOrInterfaceType,io.github.bucket4j.distributed.ExpirationAfterWriteStrategy,ExpirationAfterWriteStrategy,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,50
JDK:java.base,N/A,false,MethodCallExpr,java.util.Objects,requireNonNull,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,41
CLIENT:client-code,N/A,false,ClassOrInterfaceType,io.github.bucket4j.redis.AbstractRedisProxyManagerBuilder,AbstractRedisProxyManagerBuilder,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,28
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Optional,Optional,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,51
JDK:java.base,N/A,false,MethodCallExpr,java.util.Objects,requireNonNull,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,46
com.bucket4j:bucket4j_jdk17-core,8.14.0,false,MethodCallExpr,io.github.bucket4j.distributed.proxy.ClientSideConfig,getDefault,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,31
com.bucket4j:bucket4j_jdk17-core,8.14.0,false,ClassOrInterfaceType,io.github.bucket4j.distributed.ExpirationAfterWriteStrategy,ExpirationAfterWriteStrategy,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,40
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\consts\LuaScripts.java,35
JDK:java.base,N/A,false,MethodCallExpr,java.util.Optional,isPresent,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,52
com.bucket4j:bucket4j_jdk17-core,8.14.0,false,ClassOrInterfaceType,io.github.bucket4j.distributed.proxy.ClientSideConfig,ClientSideConfig,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\bucket4j-redis\bucket4j-redis-common\src\main\java\io\github\bucket4j\redis\AbstractRedisProxyManagerBuilder.java,61
