Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.bucket4j:bucket4j_jdk17-core:jar:8.14.0,MethodCallExpr,io.github.bucket4j.distributed.proxy.RemoteBucketBuilder,build,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\HazelcastScenarios.java,117
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Properties,getProperty,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\PostgreSQLScenarios.java,90
com.bucket4j:bucket4j_jdk17-core:jar:8.14.0,ClassOrInterfaceType,io.github.bucket4j.BucketConfiguration,BucketConfiguration,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\HazelcastScenarios.java,89
com.bucket4j:bucket4j_jdk17-core:jar:8.14.0,MethodCallExpr,io.github.bucket4j.distributed.proxy.AbstractProxyManager,builder,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\PostgreSQLScenarios.java,52
com.bucket4j:bucket4j_jdk17-core:jar:8.14.0,MethodCallExpr,io.github.bucket4j.distributed.proxy.ProxyManager,removeProxy,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\HazelcastScenarios.java,66
com.hazelcast:hazelcast:jar:5.3.6,ClassOrInterfaceType,com.hazelcast.config.Config,Config,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\HazelcastScenarios.java,43
com.bucket4j:bucket4j_jdk17-core:jar:8.14.0,MethodCallExpr,io.github.bucket4j.distributed.jdbc.SQLProxyConfigurationBuilder,withTableSettings,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\PostgreSQLScenarios.java,99
com.hazelcast:hazelcast:jar:5.3.6,MethodCallExpr,com.hazelcast.config.Config,getNetworkConfig,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\HazelcastScenarios.java,134
com.hazelcast:hazelcast:jar:5.3.6,MethodCallExpr,com.hazelcast.config.TcpIpConfig,addMember,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\HazelcastScenarios.java,137
com.bucket4j:bucket4j_jdk17-core:jar:8.14.0,MethodCallExpr,io.github.bucket4j.Bandwidth,simple,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\HazelcastScenarios.java,90
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.io.FileInputStream,FileInputStream,C:\Users\tyin363\Documents\repos\bucket4j__bucket4j\backward-compatibility-tests\current\src\main\java\com\bucket4j\backward_compatibility\PostgreSQLScenarios.java,84
