Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Direct_Dependency_Old_Version,Direct_Dependency_New_Version,Release_Type,Is_Used_In_Client
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.ClassNode,permittedSubtypesExperimental,FIELD_CHANGE,FIELD_REMOVED; ANNOTATION_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.ClassNode,recordComponentsExperimental,FIELD_CHANGE,FIELD_REMOVED; ANNOTATION_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,acceptExperimental,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,checkExperimental,METHOD_CHANGE,METHOD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,accessExperimental,FIELD_CHANGE,FIELD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,visibleTypeAnnotationsExperimental,FIELD_CHANGE,FIELD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,signatureExperimental,FIELD_CHANGE,FIELD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,attrsExperimental,FIELD_CHANGE,FIELD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,invisibleTypeAnnotationsExperimental,FIELD_CHANGE,FIELD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,descriptorExperimental,FIELD_CHANGE,FIELD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,invisibleAnnotationsExperimental,FIELD_CHANGE,FIELD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,nameExperimental,FIELD_CHANGE,FIELD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
org.ow2.asm:asm-tree,7.3.1,9.7.1,org.objectweb.asm.tree.RecordComponentNode,visibleAnnotationsExperimental,FIELD_CHANGE,FIELD_REMOVED,false,false,true,2,org.eclipse.jetty:apache-jsp,9.4.31.v20200723,9.4.58.v20250814,MINOR,false
