Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.util.Collection,size,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\TemplateCompiler.java,219
CLIENT:client-code,N/A,false,MethodCallExpr,gg.jte.compiler.TemplateParser,pop,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\TemplateParser.java,186
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,trim,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\java\JavaCodeGenerator.java,653
CLIENT:client-code,N/A,false,FieldAccessExpr,gg.jte.compiler.TemplateParser,contentType,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\TemplateParser.java,50
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\TemplateParser.java,1207
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\TemplateParserVisitor.java,24
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\resolve\DirectoryCodeResolver.java,47
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\TemplateParser.java,18
CLIENT:client-code,N/A,false,MethodReferenceExpr,gg.jte.compiler.TemplateParserVisitor,onConditionElse,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\TemplateParser.java,239
CLIENT:client-code,N/A,false,ClassOrInterfaceType,gg.jte.compiler.TemplateParser.Mode,Mode,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\TemplateParser.java,996
CLIENT:client-code,N/A,false,FieldAccessExpr,gg.jte.compiler.TemplateParser.Mode,Import,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\TemplateParser.java,108
CLIENT:client-code,N/A,false,MethodCallExpr,gg.jte.compiler.java.JavaCodeGenerator,writeCodePart,C:\Users\tyin363\Documents\repos\casid__jte\jte\src\main\java\gg\jte\compiler\java\JavaCodeGenerator.java,312
