Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Object,getClass,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\WebDriverPool.java,33
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\WebDriverPool.java,54
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\WebDriverPool.java,166
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.Closeable,Closeable,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\SeleniumDownloader.java,32
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\WebDriverPool.java,153
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,format,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\WebDriverPool.java,91
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getKey,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\SeleniumDownloader.java,97
org.seleniumhq.selenium:selenium-api,2.41.0,true,ClassOrInterfaceType,org.openqa.selenium.Cookie,Cookie,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\SeleniumDownloader.java,97
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Properties,Properties,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\WebDriverPool.java,69
org.seleniumhq.selenium:selenium-api,2.41.0,true,ClassOrInterfaceType,org.openqa.selenium.remote.DesiredCapabilities,DesiredCapabilities,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\WebDriverPool.java,77
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getValue,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\SeleniumDownloader.java,98
JDK:java.base,N/A,false,MethodCallExpr,java.lang.System,getProperty,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\WebDriverPool.java,71
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\WebDriverPool.java,141
org.seleniumhq.selenium:selenium-api,2.41.0,true,MethodCallExpr,org.openqa.selenium.remote.DesiredCapabilities,setBrowserName,C:\Users\tyin363\Documents\repos\code4craft__webmagic\webmagic-selenium\src\main\java\us\codecraft\webmagic\downloader\selenium\WebDriverPool.java,135
