Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.lang.reflect.Method,getParameterTypes,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\core\proxy\RpcProxyManager.java,118
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\enums\StatusEnum.java,65
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,248
,,false,ClassOrInterfaceType,com.crossoverjie.cim.common.data.construct.TrieTree.Node,Node,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\TrieTree.java,49
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\pojo\CIMUserInfo.java,19
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\util\HttpClient.java,22
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\metastore\ZkMetaStoreImpl.java,104
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\SortArrayMap.java,147
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.atomic.AtomicBoolean,compareAndSet,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,192
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\enums\SystemCommandEnum.java,96
,,false,ClassOrInterfaceType,com.crossoverjie.cim.common.enums.StatusEnum,StatusEnum,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\res\BaseResponse.java,50
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\consistenthash\TreeMapConsistentHash.java,41
,,false,ClassOrInterfaceType,com.crossoverjie.cim.common.data.construct.SortArrayMap.Node,Node,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\SortArrayMap.java,24
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\res\BaseResponse.java,18
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\TrieTree.java,158
,,false,MethodCallExpr,com.crossoverjie.cim.common.data.construct.RingBufferWheel.Task,setTaskId,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,119
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.concurrent.ConcurrentHashMap,ConcurrentHashMap,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,62
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.locks.Lock,unlock,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,224
,,false,ObjectCreationExpr,com.crossoverjie.cim.common.data.construct.SortArrayMap.Node,Node,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\SortArrayMap.java,44
,,false,MethodCallExpr,com.crossoverjie.cim.common.enums.StatusEnum,getMessage,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\res\BaseResponse.java,59
,,false,MethodCallExpr,com.crossoverjie.cim.common.metastore.ZkMetaStoreImpl,getAvailableServerList,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\metastore\ZkMetaStoreImpl.java,91
,,false,ClassOrInterfaceType,com.crossoverjie.cim.common.data.construct.RingBufferWheel.Task,Task,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,252
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.Thread,Thread,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,194
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\metastore\ZkMetaStoreImpl.java,37
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\consistenthash\TreeMapConsistentHash.java,42
,,false,MethodCallExpr,com.crossoverjie.cim.common.data.construct.RingBufferWheel,mod,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,239
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\util\RouteInfoParseUtil.java,17
,,false,ClassOrInterfaceType,okhttp3.Request.Builder,Builder,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\util\HttpClient.java,40
com.squareup.okhttp3:okhttp,3.3.1,false,MethodCallExpr,okhttp3.OkHttpClient,newCall,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\util\HttpClient.java,45
org.apache.curator:curator-framework,5.1.0,true,ClassOrInterfaceType,org.apache.curator.framework.CuratorFramework,CuratorFramework,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\metastore\ZkMetaStoreImpl.java,109
,,false,ClassOrInterfaceType,com.crossoverjie.cim.common.pojo.RouteInfo,RouteInfo,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\RouteHandle.java,24
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\TrieTree.java,89
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,250
com.squareup.okhttp3:okhttp,3.3.1,false,MethodCallExpr,okhttp3.Response,body,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\core\proxy\RpcProxyManager.java,156
JDK:java.base,N/A,false,ObjectCreationExpr,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\SortArrayMap.java,49
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\exception\GenericException.java,36
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\consistenthash\TreeMapConsistentHash.java,39
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\TrieTree.java,156
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\TrieTree.java,90
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\util\NettyAttrUtil.java,24
,,false,ObjectCreationExpr,com.crossoverjie.cim.common.data.construct.SortArrayMap,SortArrayMap,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\consistenthash\SortArrayMapConsistentHash.java,20
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\SortArrayMap.java,42
io.netty:netty-all,4.1.68.Final,false,ClassOrInterfaceType,io.netty.channel.ChannelHandlerContext,ChannelHandlerContext,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\kit\HeartBeatHandler.java,19
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getValue,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\consistenthash\TreeMapConsistentHash.java,43
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\loop\LoopHandle.java,31
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,249
JDK:java.base,N/A,false,MethodCallExpr,java.lang.reflect.Field,setAccessible,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\core\proxy\RpcProxyManager.java,146
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\consistenthash\SortArrayMapConsistentHash.java,37
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\loop\LoopHandle.java,23
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,valueOf,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\SortArrayMap.java,125
,,false,ClassOrInterfaceType,com.crossoverjie.cim.common.data.construct.RingBufferWheel.Task,Task,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,250
,,false,MethodCallExpr,com.crossoverjie.cim.common.data.construct.SortArrayMap,sort,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\consistenthash\SortArrayMapConsistentHash.java,44
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\enums\SystemCommandEnum.java,95
com.alibaba:fastjson,1.2.83,false,ClassOrInterfaceType,com.alibaba.fastjson.JSONObject,JSONObject,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\core\proxy\RpcProxyManager.java,144
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\consistenthash\AbstractConsistentHash.java,55
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Character,isUpperCase,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\TrieTree.java,97
com.squareup.okhttp3:okhttp,3.3.1,false,MethodCallExpr,okhttp3.Response,isSuccessful,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\util\HttpClient.java,31
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\route\algorithm\consistenthash\TreeMapConsistentHash.java,22
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\RingBufferWheel.java,252
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\crossoverJie__cim\cim-common\src\main\java\com\crossoverjie\cim\common\data\construct\TrieTree.java,127
