Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,169
CLIENT:client-code:N/A:N/A,NameExpr,io.cucumber.spring.TestContextAdaptor,monitor,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,33
CLIENT:client-code:N/A:N/A,FieldAccessExpr,io.cucumber.spring.TestContextAdaptor,applicationContext,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,57
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,163
CLIENT:client-code:N/A:N/A,NameExpr,io.cucumber.spring.CucumberTestContext,objects,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,54
org.springframework:spring-test:jar:6.2.9,MethodCallExpr,org.springframework.test.context.TestContextManager,beforeTestClass,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,75
CLIENT:client-code:N/A:N/A,NameExpr,io.cucumber.spring.SpringFactory,testContextAdaptor,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\SpringFactory.java,121
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Runnable,Runnable,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,20
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\SpringFactory.java,81
JDK:java.base:N/A:N/A,MethodCallExpr,java.net.URI,getScheme,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\SpringBackend.java,31
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.cucumber.spring.TestContextAdaptor,notifyTestContextManagerAboutBeforeExecution,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,70
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getMethod,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,249
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.cucumber.spring.TestContextAdaptor,TestContextAdaptor,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,29
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.cucumber.spring.TestContextAdaptor,getDummyMethod,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,131
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,232
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.ThreadLocal,ThreadLocal,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,15
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,31
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.cucumber.spring.CucumberTestContext,getInstance,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberScenarioScope.java,28
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Optional,Optional,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,35
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberScenarioScope.java,33
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.cucumber.spring.CucumberTestContext,requireActiveScenario,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,53
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Optional,map,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberScenarioScope.java,40
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,20
CLIENT:client-code:N/A:N/A,NameExpr,io.cucumber.spring.SpringFactory,testContextAdaptor,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\SpringFactory.java,122
CLIENT:client-code:N/A:N/A,MethodCallExpr,io.cucumber.spring.CucumberTestContext,getInstance,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,210
org.springframework:spring-beans:jar:6.2.9,MethodCallExpr,org.springframework.beans.factory.config.ConfigurableBeanFactory,registerScope,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\TestContextAdaptor.java,145
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.concurrent.atomic.AtomicInteger,incrementAndGet,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,32
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,19
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,22
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,52
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\cucumber-spring\src\main\java\io\cucumber\spring\CucumberTestContext.java,57
