Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.StringJoiner,StringJoiner,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\User.java,65
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\User.java,55
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\Message.java,35
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\User.java,37
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.cucumber.examples.spring.application.UserRepository,UserRepository,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\UserController.java,19
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.lang.IllegalArgumentException,IllegalArgumentException,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\UserController.java,28
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Optional,get,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\UserController.java,31
CLIENT:client-code:N/A:N/A,NameExpr,io.cucumber.examples.spring.application.Message,content,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\Message.java,62
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\User.java,59
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.cucumber.examples.spring.application.Message,Message,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\MessageRepository.java,11
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\Message.java,30
CLIENT:client-code:N/A:N/A,NameExpr,io.cucumber.examples.spring.application.Message,author,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\Message.java,42
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\UserController.java,24
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\Message.java,59
CLIENT:client-code:N/A:N/A,NameExpr,io.cucumber.examples.spring.application.Message,content,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\Message.java,51
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\MessageRepository.java,11
org.springframework.data:spring-data-commons:jar:3.5.0,MethodCallExpr,org.springframework.data.repository.CrudRepository,findById,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\UserController.java,25
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.cucumber.examples.spring.application.Application,Application,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\Application.java,12
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.cucumber.examples.spring.application.User,User,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\Message.java,35
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.IllegalArgumentException,IllegalArgumentException,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\UserController.java,28
org.springframework:spring-context:jar:6.2.7,MethodCallExpr,org.springframework.ui.Model,addAttribute,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\UserController.java,31
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\UserRepository.java,7
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\MessageRepository.java,9
CLIENT:client-code:N/A:N/A,NameExpr,io.cucumber.examples.spring.application.User,messages,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\User.java,56
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getSimpleName,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\User.java,65
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.cucumber.examples.spring.application.User,User,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\UserController.java,25
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\Message.java,54
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,io.cucumber.examples.spring.application.User,User,C:\Users\tyin363\Documents\repos\cucumber__cucumber-jvm\examples\spring-java-junit5\src\main\java\io\cucumber\examples\spring\application\UserRepository.java,7
