Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.google.flatbuffers:flatbuffers-java:jar:2.0.8,MethodCallExpr,com.google.flatbuffers.FlatBufferBuilder,startTable,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\fbs\generated\Tree_.java,35
CLIENT:client-code:N/A:N/A,NameExpr,com.github.davidmoten.rtree.geometry.internal.LineDouble,x2,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\geometry\internal\LineDouble.java,78
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.davidmoten.rtree.Node,Node,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\internal\NonLeafHelper.java,42
JDK:java.base:N/A:N/A,MethodCallExpr,java.nio.ByteBuffer,getInt,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\fbs\generated\Node_.java,14
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.davidmoten.rtree.geometry.Geometry,Geometry,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\NonLeaf.java,7
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.davidmoten.rtree.geometry.internal.LineFloat,y1,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\geometry\internal\LineFloat.java,128
CLIENT:client-code:N/A:N/A,NameExpr,com.github.davidmoten.rtree.fbs.SerializerFlatBuffers,factory,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\fbs\SerializerFlatBuffers.java,132
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.OutputStream,write,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\fbs\SerializerFlatBuffers.java,86
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.davidmoten.rtree.fbs.generated.Context_,addMinChildren,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\fbs\generated\Context_.java,29
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.davidmoten.rtree.geometry.internal.RectangleDouble,create,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\geometry\Geometries.java,58
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.davidmoten.rtree.Backpressure.StackAndRequest,request,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\Backpressure.java,77
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\Serializers.java,44
CLIENT:client-code:N/A:N/A,NameExpr,com.github.davidmoten.rtree.fbs.NonLeafFlatBuffers,node,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\fbs\NonLeafFlatBuffers.java,138
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.davidmoten.rtree.geometry.Geometry,Geometry,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\internal\LeafDefault.java,28
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.davidmoten.rtree.Visualizer,view,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\Visualizer.java,26
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.davidmoten.rtree.fbs.generated.Entry_,__init,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\fbs\generated\Entry_.java,16
CLIENT:client-code:N/A:N/A,NameExpr,com.github.davidmoten.rtree.geometry.internal.LineFloat,x2,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\geometry\internal\LineFloat.java,115
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.davidmoten.rtree.geometry.Rectangle,Rectangle,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\fbs\SerializerFlatBuffers.java,117
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.io.ByteArrayInputStream,ByteArrayInputStream,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\Serializers.java,190
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.davidmoten.rtree.Entry,Entry,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\fbs\NonLeafFlatBuffers.java,69
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.davidmoten.rtree.geometry.HasGeometry,HasGeometry,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\internal\Comparators.java,71
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.davidmoten.rtree.geometry.internal.LineFloat,x1,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\geometry\internal\LineFloat.java,57
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.github.davidmoten.rtree.geometry.internal.PointDouble,y,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\geometry\internal\PointDouble.java,15
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.github.davidmoten.rtree.Context,minChildren,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\fbs\SerializerFlatBuffers.java,65
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.github.davidmoten.rtree.RTree,RTree,C:\Users\tyin363\Documents\repos\davidmoten__rtree\src\main\java\com\github\davidmoten\rtree\RTree.java,490
