Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\TableLoader.java,18
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\DefaultJdbcConnector.java,210
JDK:java.base,N/A,false,ClassOrInterfaceType,java.time.Year,Year,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\statement\ValueConverter.java,50
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.Timestamp,Timestamp,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\statement\DefaultColumnBinder.java,33
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.dflib.jdbc.connector.JdbcConnector,JdbcConnector,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\tx\TxJdbcConnector.java,27
CLIENT:client-code,N/A,false,FieldAccessExpr,org.dflib.jdbc.connector.metadata.TableFQName,catalog,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\metadata\TableFQName.java,15
CLIENT:client-code,N/A,false,MethodCallExpr,org.dflib.jdbc.connector.TableDeleter,createUnqualifiedDeleteStatement,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\TableDeleter.java,48
org.slf4j:slf4j-api,2.0.16,false,MethodCallExpr,org.slf4j.LoggerFactory,getLogger,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\saver\TableSaveStrategy.java,26
JDK:java.base,N/A,false,MethodCallExpr,java.lang.StringBuilder,append,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\saver\SaveViaUpsert.java,187
CLIENT:client-code,N/A,false,MethodCallExpr,org.dflib.jdbc.connector.metadata.DbMetadata,getTable,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\TableSaver.java,131
JDK:java.base,N/A,false,MethodCallExpr,java.lang.StringBuilder,append,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\TableLoader.java,150
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.SQLException,SQLException,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\datasource\TxDataSource.java,59
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.SQLException,SQLException,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\datasource\TxDataSourceConnection.java,140
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\metadata\TableFQName.java,12
CLIENT:client-code,N/A,false,FieldAccessExpr,org.dflib.jdbc.connector.JdbcConnectorBuilder,dataSource,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\JdbcConnectorBuilder.java,29
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.Savepoint,Savepoint,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\tx\TxConnectionWrapper.java,171
JDK:java.base,N/A,false,ObjectCreationExpr,java.sql.SQLFeatureNotSupportedException,SQLFeatureNotSupportedException,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\datasource\SimpleDataSource.java,107
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.SQLException,SQLException,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\JdbcFunction.java,8
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.SQLException,SQLException,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\datasource\TxDataSourceConnection.java,273
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.PreparedStatement,PreparedStatement,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\datasource\TxDataSourceConnection.java,183
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.ResultSet,ResultSet,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\loader\JdbcExtractorFactory.java,25
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.dflib.jdbc.connector.statement.FixedParamsBinderFactory,FixedParamsBinderFactory,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\StatementBuilder.java,135
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\tx\TxConnectionWrapper.java,101
CLIENT:client-code,N/A,false,ObjectCreationExpr,org.dflib.jdbc.connector.JdbcConnectorBuilder,JdbcConnectorBuilder,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\Jdbc.java,22
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.Timestamp,Timestamp,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\statement\DefaultColumnBinder.java,32
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.dflib.jdbc.connector.StatementBuilder,StatementBuilder,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\StatementBuilder.java,59
CLIENT:client-code,N/A,false,MethodCallExpr,org.dflib.jdbc.connector.tx.TxJdbcConnector.JdbcConsumer,consume,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\tx\TxJdbcConnector.java,183
CLIENT:client-code,N/A,false,ObjectCreationExpr,org.dflib.jdbc.connector.statement.StatementBinder,StatementBinder,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\statement\FixedParamsBinderFactory.java,28
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.ResultSet,ResultSet,C:\Users\tyin363\Documents\repos\dflib__dflib\dflib-jdbc\src\main\java\org\dflib\jdbc\connector\ColConfigurator.java,43
