Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,org.dromara.jpom.plugins.JschLogger,JschLogger,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschLogger.java,22
com.github.mwiede:jsch:jar:0.2.18,ClassOrInterfaceType,com.jcraft.jsch.Session,Session,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,298
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.File,File,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,225
com.github.mwiede:jsch:jar:0.2.18,ClassOrInterfaceType,com.jcraft.jsch.Session,Session,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,265
com.github.mwiede:jsch:jar:0.2.18,ClassOrInterfaceType,com.jcraft.jsch.KeyPair,KeyPair,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,177
com.github.mwiede:jsch:jar:0.2.18,ClassOrInterfaceType,com.jcraft.jsch.Identity,Identity,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,70
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,76
com.github.mwiede:jsch:jar:0.2.18,MethodCallExpr,com.jcraft.jsch.KeyPair,decrypt,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,96
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,266
JDK:java.base:N/A:N/A,MethodCallExpr,java.nio.charset.Charset,name,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,314
com.github.mwiede:jsch:jar:0.2.18,ClassOrInterfaceType,com.jcraft.jsch.Session,Session,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,215
com.github.mwiede:jsch:jar:0.2.18,MethodCallExpr,com.jcraft.jsch.Channel,getInputStream,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,306
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,215
com.github.mwiede:jsch:jar:0.2.18,ClassOrInterfaceType,com.jcraft.jsch.Session,Session,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,281
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.File,File,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,224
com.github.mwiede:jsch:jar:0.2.18,ClassOrInterfaceType,com.jcraft.jsch.Logger,Logger,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschLogger.java,20
CLIENT:client-code:N/A:N/A,NameExpr,org.dromara.jpom.plugins.JschUtils.ContentIdentity,kpair,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,117
CLIENT:client-code:N/A:N/A,NameExpr,org.dromara.jpom.plugins.JschUtils,GET_KEY_TYPE_NAME_METHOD,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,137
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,215
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,149
com.github.mwiede:jsch:jar:0.2.18,MethodCallExpr,com.jcraft.jsch.KeyPair,isEncrypted,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,160
CLIENT:client-code:N/A:N/A,NameExpr,org.dromara.jpom.plugins.JschUtils.ContentIdentity,kpair,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,160
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,199
com.github.mwiede:jsch:jar:0.2.18,ObjectCreationExpr,com.jcraft.jsch.JSch,JSch,C:\Users\tyin363\Documents\repos\dromara__Jpom\modules\sub-plugin\ssh-jsch\src\main\java\org\dromara\jpom\plugins\JschUtils.java,194
