Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.dromara.web.service.SysLoginService,SysLoginService,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-admin\src\main\java\org\dromara\web\listener\UserActionListener.java,37
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-admin\src\main\java\org\dromara\web\service\impl\SocialAuthStrategy.java,107
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.dromara.web.domain.vo.CaptchaVo,CaptchaVo,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-admin\src\main\java\org\dromara\web\controller\CaptchaController.java,148
CLIENT:client-code:N/A:N/A,NameExpr,org.dromara.web.controller.AuthController,loginService,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-admin\src\main\java\org\dromara\web\controller\AuthController.java,155
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-admin\src\main\java\org\dromara\web\listener\UserActionListener.java,53
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-admin\src\main\java\org\dromara\web\service\IAuthStrategy.java,44
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Long,Long,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-admin\src\main\java\org\dromara\web\service\SysLoginService.java,79
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.dromara.web.service.SysLoginService,SysLoginService,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-admin\src\main\java\org\dromara\web\service\impl\EmailAuthStrategy.java,43
CLIENT:client-code:N/A:N/A,NameExpr,org.dromara.web.service.impl.EmailAuthStrategy,loginService,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-admin\src\main\java\org\dromara\web\service\impl\EmailAuthStrategy.java,84
org.springframework.boot:spring-boot:jar:3.4.7,ObjectCreationExpr,org.springframework.boot.context.metrics.buffering.BufferingApplicationStartup,BufferingApplicationStartup,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-admin\src\main\java\org\dromara\DromaraApplication.java,18
