Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
,,false,MethodCallExpr,org.dromara.common.mybatis.handler.PlusDataPermissionHandler,invalid,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\interceptor\PlusDataPermissionInterceptor.java,67
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\page\PageQuery.java,95
,,false,MethodCallExpr,org.dromara.common.mybatis.core.mapper.BaseMapperPlus,selectVoOne,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\mapper\BaseMapperPlus.java,211
org.springframework:spring-expression,6.2.1,true,ClassOrInterfaceType,org.springframework.expression.PropertyAccessor,PropertyAccessor,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\handler\PlusDataPermissionHandler.java,321
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Stack,Stack,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\helper\DataPermissionHelper.java,122
com.baomidou:mybatis-plus-core,3.5.12,true,ObjectCreationExpr,com.baomidou.mybatisplus.core.conditions.query.QueryWrapper,QueryWrapper,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\mapper\BaseMapperPlus.java,260
,,false,MethodCallExpr,org.dromara.common.mybatis.helper.DataPermissionHelper,removePermission,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\aspect\DataPermissionAspect.java,36
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\mapper\BaseMapperPlus.java,184
com.baomidou:mybatis-plus-core,3.5.12,true,MethodCallExpr,com.baomidou.mybatisplus.core.mapper.BaseMapper,selectList,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\mapper\BaseMapperPlus.java,282
com.github.jsqlparser:jsqlparser,5.1,true,ClassOrInterfaceType,net.sf.jsqlparser.statement.select.Select,Select,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\interceptor\PlusDataPermissionInterceptor.java,116
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\handler\PlusDataPermissionHandler.java,84
,,false,MethodCallExpr,org.dromara.common.mybatis.helper.DataBaseHelper,getDataBaseType,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\helper\DataBaseHelper.java,43
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\domain\BaseEntity.java,31
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.dromara.common.mybatis.annotation.DataColumn,DataColumn,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\handler\PlusDataPermissionHandler.java,172
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Function,Function,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\mapper\BaseMapperPlus.java,330
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\interceptor\PlusDataPermissionInterceptor.java,117
,,false,MethodCallExpr,org.dromara.common.mybatis.helper.DataPermissionHelper,disableIgnore,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\helper\DataPermissionHelper.java,172
org.springframework:spring-expression,6.2.1,true,ObjectCreationExpr,org.springframework.expression.TypedValue,TypedValue,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\handler\PlusDataPermissionHandler.java,341
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.dromara.common.mybatis.annotation.DataColumn,DataColumn,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\annotation\DataPermission.java,21
com.baomidou:mybatis-plus-extension,3.5.12,true,MethodCallExpr,com.baomidou.mybatisplus.extension.toolkit.Db,updateBatchById,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\mapper\BaseMapperPlus.java,112
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\page\PageQuery.java,96
JDK:java.base,N/A,false,ClassOrInterfaceType,java.sql.Connection,Connection,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\helper\DataBaseHelper.java,33
org.springframework:spring-expression,6.2.1,true,ClassOrInterfaceType,org.springframework.expression.spel.support.StandardEvaluationContext,StandardEvaluationContext,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\handler\PlusDataPermissionHandler.java,301
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\page\TableDataInfo.java,51
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,put,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\helper\DataPermissionHelper.java,80
,,false,ObjectCreationExpr,org.dromara.common.mybatis.handler.PlusDataPermissionHandler,PlusDataPermissionHandler,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\interceptor\PlusDataPermissionInterceptor.java,46
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\page\PageQuery.java,85
,,false,MethodCallExpr,org.dromara.common.mybatis.core.mapper.BaseMapperPlus,selectVoPage,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\mapper\BaseMapperPlus.java,297
com.baomidou:mybatis-plus-core,3.5.12,true,ClassOrInterfaceType,com.baomidou.mybatisplus.core.metadata.IPage,IPage,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\page\TableDataInfo.java,99
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\mapper\BaseMapperPlus.java,282
org.springframework:spring-expression,6.2.1,true,MethodCallExpr,org.springframework.expression.PropertyAccessor,read,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\handler\PlusDataPermissionHandler.java,338
com.baomidou:mybatis-plus-core,3.5.12,true,ClassOrInterfaceType,com.baomidou.mybatisplus.core.metadata.OrderItem,OrderItem,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\page\PageQuery.java,101
org.springframework:spring-core,6.2.1,true,ClassOrInterfaceType,org.springframework.core.type.classreading.CachingMetadataReaderFactory,CachingMetadataReaderFactory,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\handler\PlusDataPermissionHandler.java,217
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Collection,Collection,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\core\mapper\BaseMapperPlus.java,100
com.baomidou:mybatis-plus-jsqlparser,3.5.12,false,ClassOrInterfaceType,com.baomidou.mybatisplus.extension.plugins.handler.MultiDataPermissionHandler,MultiDataPermissionHandler,C:\Users\tyin363\Documents\repos\dromara__RuoYi-Vue-Plus\ruoyi-common\ruoyi-common-mybatis\src\main\java\org\dromara\common\mybatis\interceptor\PlusDataPermissionInterceptor.java,177
