Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.dtflys.forest.example.GPT4oMessage,GPT4oMessage,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\GPT4oBody.java,27
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\GPTResponse.java,15
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\GPT4oBody.java,27
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.dtflys.forest.example.GPT4oBody,temperature,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\GPT4oBody.java,44
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Float,Float,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\GPT4oBody.java,13
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.dtflys.forest.example.GPT4oBody,GPT4oBody,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\ChatGPT.java,23
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\GPTChoice.java,9
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.dtflys.forest.example.GPT4oMessage,GPT4oMessage,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\ChatGPTExampleApplication.java,24
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.GPTResponse,choices,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\GPTResponse.java,50
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\GPTChoice.java,11
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\ChatGPTExampleApplication.java,19
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-chatgpt\src\main\java\com\dtflys\forest\example\ChatGPTExampleApplication.java,34
