Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.controller.TestUploadController,logger,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,116
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestDownloadController.java,53
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Throwable,printStackTrace,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,139
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Location.java,44
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.File,getParentFile,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\service\FileService.java,28
org.springframework:spring-jcl:jar:5.3.31,MethodCallExpr,org.apache.commons.logging.Log,info,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\interceptors\ApiClientInterceptor.java,35
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.model.GiteeBranch,name,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\GiteeBranch.java,29
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Location.java,22
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.dtflys.forest.example.model.GiteeReadme,type,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\GiteeReadme.java,20
io.swagger:swagger-annotations:jar:1.5.20,ClassOrInterfaceType,io.swagger.annotations.Contact,Contact,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\sse\MySSEHandler.java,39
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.HashMap,put,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\service\FileService.java,39
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,54
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Coordinate.java,23
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.dtflys.forest.example.model.Location,Location,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\ForestExampleController.java,41
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\client\Amap.java,55
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,55
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.controller.TestUploadController,logger,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,117
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.concurrent.CountDownLatch,CountDownLatch,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestAsyncController.java,33
com.dtflys.forest:forest-core:jar:1.6.2,MethodCallExpr,com.dtflys.forest.http.ForestSSE,listen,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestSSEController.java,55
org.springframework:spring-web:jar:5.3.27,MethodCallExpr,org.springframework.web.multipart.MultipartFile,getOriginalFilename,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,82
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestDownloadController.java,54
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.dtflys.forest.example.utils.PathUtil,appendWebPath,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,51
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Throwable,printStackTrace,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestSSEController.java,77
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.HashMap,put,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\service\FileService.java,40
org.apache.tomcat.embed:tomcat-embed-core:jar:9.0.75,ClassOrInterfaceType,javax.servlet.http.HttpServletRequest,HttpServletRequest,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,48
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.model.Location,provinceadcode,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Location.java,171
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Result.java,17
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.File,File,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\service\FileService.java,20
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Throwable,printStackTrace,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,141
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.dtflys.forest.example.model.Location,cross_list,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Location.java,191
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.File,File,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestDownloadController.java,66
io.springfox:springfox-spring-web:jar:2.9.2,ClassOrInterfaceType,springfox.documentation.spring.web.plugins.Docket,Docket,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\ForestExampleApplication.java,23
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestAsyncController.java,97
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.controller.ForestExampleController,gitee,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\ForestExampleController.java,72
com.dtflys.forest:forest-core:jar:1.6.2,MethodCallExpr,com.dtflys.forest.http.ForestSSE,addOnData,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestSSEController.java,63
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.controller.TestUploadController,uploadPath,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,53
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.dtflys.forest.example.interceptors.ApiClientInterceptor,ApiClientInterceptor,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\client\TestInterceptorClient.java,16
org.springframework:spring-core:jar:4.0.9.RELEASE,ObjectCreationExpr,org.springframework.core.io.ClassPathResource,ClassPathResource,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,111
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Location.java,86
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Location.java,20
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\GiteeReadme.java,39
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\interceptors\ApiClientInterceptor.java,41
com.dtflys.forest:forest-core:jar:1.6.2,ClassOrInterfaceType,com.dtflys.forest.http.ForestResponse,ForestResponse,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\interceptors\ApiClientInterceptor.java,39
com.dtflys.forest:forest-core:jar:1.6.2,MethodCallExpr,com.dtflys.forest.http.ForestRequest,host,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestAsyncController.java,38
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.concurrent.atomic.AtomicInteger,incrementAndGet,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestAsyncController.java,82
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,52
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.concurrent.atomic.AtomicInteger,incrementAndGet,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestAsyncController.java,80
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.controller.TestUploadController,uploadClient,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,184
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.File,getParentFile,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\service\FileService.java,25
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.model.Location,message,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Location.java,67
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,put,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestDownloadController.java,68
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.concurrent.atomic.AtomicReference,AtomicReference,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\ForestExampleController.java,78
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.dtflys.forest.example.utils.PathUtil,appendWebPath,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,53
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.model.Location,city,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Location.java,135
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.model.Result,data,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Result.java,22
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\service\FileService.java,18
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.controller.TestUploadController,fileService,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,70
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.dtflys.forest.example.model.GiteeBranch,GiteeBranch,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\ForestExampleController.java,104
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,184
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.dtflys.forest.example.model.GiteeBranch.Commit,Commit,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\GiteeBranch.java,40
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Location.java,48
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Math,floor,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestDownloadController.java,46
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestDownloadController.java,63
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.File,getParentFile,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\service\FileService.java,24
CLIENT:client-code:N/A:N/A,NameExpr,com.dtflys.forest.example.controller.TestUploadController,logger,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,186
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\controller\TestUploadController.java,140
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__forest\forest-examples\example-springboot\src\main\java\com\dtflys\forest\example\model\Location.java,150
