Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\service\ClientService.java,20
JDK:java.base,N/A,false,FieldAccessExpr,java.nio.charset.StandardCharsets,UTF_8,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\listener\MqttClientSubscribeListener.java,25
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\listener\MqttClientSubscribeListener.java,30
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,getBytes,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\service\ClientService.java,21
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.dromara.mica.mqtt.client.solon.service.ClientService,ClientService,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\controller\ClientController.java,12
CLIENT:client-code,N/A,false,MethodCallExpr,org.dromara.mica.mqtt.client.solon.service.ClientService,sub,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\controller\ClientController.java,23
JDK:java.base,N/A,false,FieldAccessExpr,java.nio.charset.StandardCharsets,UTF_8,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\service\ClientService.java,27
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\listener\MqttClientDisconnectListener.java,38
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\listener\MqttClientMessageListener.java,22
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\listener\MqttClientSubscribeListener.java,25
org.dromara.mica-mqtt:mica-mqtt-client,2.5.3,true,ClassOrInterfaceType,org.dromara.mica.mqtt.core.client.MqttClientCreator,MqttClientCreator,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\listener\MqttClientDisconnectListener.java,35
org.dromara.mica-mqtt:mica-mqtt-codec,2.5.3,true,ClassOrInterfaceType,org.dromara.mica.mqtt.codec.MqttPublishMessage,MqttPublishMessage,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\listener\MqttClientSubscribeListener.java,37
org.dromara.mica-mqtt:mica-mqtt-client-solon-plugin,2.5.3,false,ClassOrInterfaceType,org.dromara.mica.mqtt.client.solon.MqttClientTemplate,MqttClientTemplate,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\service\ClientService.java,18
org.dromara.mica-mqtt:mica-mqtt-client,2.5.3,true,ClassOrInterfaceType,org.dromara.mica.mqtt.core.client.MqttClientCreator,MqttClientCreator,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\listener\MqttClientConnectedListener.java,35
org.noear:solon,3.4.2,true,MethodCallExpr,org.noear.solon.Solon,start,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\MqttClientApplication.java,16
JDK:java.base,N/A,false,FieldAccessExpr,java.nio.charset.StandardCharsets,UTF_8,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\example\mica-mqtt-client-solon-plugin-example\src\main\java\org\dromara\mica\mqtt\client\solon\listener\MqttClientMessageListener.java,22
