Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\starter\mica-mqtt-server-spring-boot-starter\src\main\java\org\dromara\mica\mqtt\spring\server\MqttServerTemplate.java,169
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\starter\mica-mqtt-server-spring-boot-starter\src\main\java\org\dromara\mica\mqtt\spring\server\config\MqttServerProperties.java,177
CLIENT:client-code,N/A,false,ObjectCreationExpr,org.dromara.mica.mqtt.spring.server.config.MqttServerProperties.McpServer,McpServer,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\starter\mica-mqtt-server-spring-boot-starter\src\main\java\org\dromara\mica\mqtt\spring\server\config\MqttServerProperties.java,202
CLIENT:client-code,N/A,false,ObjectCreationExpr,org.dromara.mica.mqtt.spring.server.config.MqttServerProperties.HttpListener,HttpListener,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\starter\mica-mqtt-server-spring-boot-starter\src\main\java\org\dromara\mica\mqtt\spring\server\config\MqttServerProperties.java,110
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\starter\mica-mqtt-server-spring-boot-starter\src\main\java\org\dromara\mica\mqtt\spring\server\config\MqttServerMetrics.java,51
org.springframework:spring-core,5.3.31,true,FieldAccessExpr,org.springframework.util.ReflectionUtils,USER_DECLARED_METHODS,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\starter\mica-mqtt-server-spring-boot-starter\src\main\java\org\dromara\mica\mqtt\spring\server\MqttServerFunctionLazyFilter.java,49
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\starter\mica-mqtt-server-spring-boot-starter\src\main\java\org\dromara\mica\mqtt\spring\server\MqttServerTemplate.java,127
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Runnable,Runnable,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\starter\mica-mqtt-server-spring-boot-starter\src\main\java\org\dromara\mica\mqtt\spring\server\MqttServerTemplate.java,209
JDK:java.base,N/A,false,MethodCallExpr,java.util.concurrent.atomic.LongAdder,sum,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\starter\mica-mqtt-server-spring-boot-starter\src\main\java\org\dromara\mica\mqtt\spring\server\config\MqttServerMetrics.java,91
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.dromara.mica.mqtt.spring.server.config.MqttServerProperties.Listener,Listener,C:\Users\tyin363\Documents\repos\dromara__mica-mqtt\starter\mica-mqtt-server-spring-boot-starter\src\main\java\org\dromara\mica\mqtt\spring\server\config\MqttServerProperties.java,102
