Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\configuration\config\AesEncryptConfig.java,76
CLIENT:client-code,N/A,false,FieldAccessExpr,org.dromara.visor.framework.encrypt.configuration.config.AesEncryptConfig,useGeneratorKey,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\configuration\config\AesEncryptConfig.java,86
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\core\impl\AesEncryptorImpl.java,92
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.dromara.visor.framework.encrypt.configuration.config.AesEncryptConfig,AesEncryptConfig,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\core\impl\AesEncryptorImpl.java,44
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\core\impl\RsaDecryptorImpl.java,44
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.dromara.visor.framework.encrypt.configuration.config.AesEncryptConfig,AesEncryptConfig,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\configuration\OrionEncryptAutoConfiguration.java,47
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,split,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\core\impl\RsaDecryptorImpl.java,54
JDK:java.base,N/A,false,MethodCallExpr,java.util.Arrays,stream,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\core\impl\RsaDecryptorImpl.java,54
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\core\impl\AesEncryptorImpl.java,107
CLIENT:client-code,N/A,false,FieldAccessExpr,org.dromara.visor.framework.encrypt.configuration.config.AesEncryptConfig,workingMode,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\configuration\config\AesEncryptConfig.java,84
CLIENT:client-code,N/A,false,ClassOrInterfaceType,org.dromara.visor.framework.encrypt.configuration.config.AesEncryptConfig,AesEncryptConfig,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\core\impl\AesEncryptorImpl.java,56
JDK:java.base,N/A,false,ClassOrInterfaceType,java.security.spec.AlgorithmParameterSpec,AlgorithmParameterSpec,C:\Users\tyin363\Documents\repos\dromara__orion-visor\orion-visor-framework\orion-visor-spring-boot-starter-encrypt\src\main\java\org\dromara\visor\framework\encrypt\core\impl\AesEncryptorImpl.java,95
