Library_Name,Old_Version,New_Version,Class_Name,Member_Name,Change_Type,Description,Binary_Compatible,Source_Compatible,Is_Transitive,Depth,Direct_Parent_Dependency,Direct_Dependency_Old_Version,Direct_Dependency_New_Version,Release_Type,Is_Used_In_Client
org.noear:solon,2.8.4,2.9.4,org.noear.solon.annotation.Addition,index,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,org.noear:solon,,,MINOR,false
org.noear:solon,2.8.4,2.9.4,org.noear.solon.annotation.Bean,delivered,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,org.noear:solon,,,MINOR,false
org.noear:solon,2.8.4,2.9.4,org.noear.solon.annotation.Bean,destroyMethod,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,org.noear:solon,,,MINOR,false
org.noear:solon,2.8.4,2.9.4,org.noear.solon.annotation.Bean,initMethod,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,org.noear:solon,,,MINOR,false
org.noear:solon,2.8.4,2.9.4,org.noear.solon.annotation.Bean,priority,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,org.noear:solon,,,MINOR,false
org.noear:solon,2.8.4,2.9.4,org.noear.solon.annotation.Bean,registered,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_DEPRECATED_ADDED,true,false,false,1,org.noear:solon,,,MINOR,false
org.noear:solon,2.8.4,2.9.4,org.noear.solon.annotation.Component,delivered,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,org.noear:solon,,,MINOR,false
org.noear:solon,2.8.4,2.9.4,org.noear.solon.annotation.Component,registered,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS; ANNOTATION_DEPRECATED_ADDED,true,false,false,1,org.noear:solon,,,MINOR,false
org.noear:solon,2.8.4,2.9.4,org.noear.solon.annotation.Condition,onBean,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,org.noear:solon,,,MINOR,false
org.noear:solon,2.8.4,2.9.4,org.noear.solon.annotation.Condition,onBeanName,METHOD_CHANGE,METHOD_ADDED_TO_PUBLIC_CLASS; METHOD_ABSTRACT_ADDED_TO_CLASS,true,false,false,1,org.noear:solon,,,MINOR,false
