Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,ClassOrInterfaceType,de.dominikschadow.webappsecurity.WithCSPServlet,WithCSPServlet,C:\Users\tyin363\Documents\repos\dschadow__Java-Web-Security\Ch07_CSP\src\main\java\de\dominikschadow\webappsecurity\WithCSPServlet.java,42
javax.servlet:javax.servlet-api,4.0.1,false,ClassOrInterfaceType,javax.servlet.http.HttpServletRequest,HttpServletRequest,C:\Users\tyin363\Documents\repos\dschadow__Java-Web-Security\Ch07_CSP\src\main\java\de\dominikschadow\webappsecurity\WithCSPServlet.java,45
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\dschadow__Java-Web-Security\Ch07_CSP\src\main\java\de\dominikschadow\webappsecurity\CSPReporting.java,47
JDK:java.base,N/A,false,MethodCallExpr,java.io.PrintWriter,println,C:\Users\tyin363\Documents\repos\dschadow__Java-Web-Security\Ch07_CSP\src\main\java\de\dominikschadow\webappsecurity\WithoutCSPServlet.java,54
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Throwable,getMessage,C:\Users\tyin363\Documents\repos\dschadow__Java-Web-Security\Ch07_CSP\src\main\java\de\dominikschadow\webappsecurity\WithoutCSPServlet.java,61
JDK:java.base,N/A,false,MethodCallExpr,java.io.PrintWriter,println,C:\Users\tyin363\Documents\repos\dschadow__Java-Web-Security\Ch07_CSP\src\main\java\de\dominikschadow\webappsecurity\WithCSPServlet.java,61
JDK:java.base,N/A,false,MethodCallExpr,java.io.PrintWriter,println,C:\Users\tyin363\Documents\repos\dschadow__Java-Web-Security\Ch07_CSP\src\main\java\de\dominikschadow\webappsecurity\WithoutCSPServlet.java,58
javax.servlet:javax.servlet-api,4.0.1,false,ClassOrInterfaceType,javax.servlet.http.HttpServlet,HttpServlet,C:\Users\tyin363\Documents\repos\dschadow__Java-Web-Security\Ch07_CSP\src\main\java\de\dominikschadow\webappsecurity\WithCSPServlet.java,39
JDK:java.base,N/A,false,MethodCallExpr,java.io.PrintWriter,println,C:\Users\tyin363\Documents\repos\dschadow__Java-Web-Security\Ch07_CSP\src\main\java\de\dominikschadow\webappsecurity\WithCSPReportingServlet.java,63
JDK:java.base,N/A,false,MethodCallExpr,java.io.PrintWriter,println,C:\Users\tyin363\Documents\repos\dschadow__Java-Web-Security\Ch07_CSP\src\main\java\de\dominikschadow\webappsecurity\WithCSPServlet.java,57
