Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.ObjenesisException,ObjenesisException,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\sun\SunReflectionFactorySerializationInstantiator.java,52
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.NoSuchMethodException,NoSuchMethodException,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\gcj\GCJInstantiatorBase.java,48
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.NoSuchMethodException,NoSuchMethodException,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\sun\SunReflectionFactoryHelper.java,77
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.reflect.Field,Field,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\strategy\PlatformDescription.java,197
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.instantiator.ObjectInstantiator,ObjectInstantiator,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\basic\NullInstantiator.java,28
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.IllegalArgumentException,IllegalArgumentException,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\sun\SunReflectionFactoryHelper.java,67
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\gcj\GCJInstantiator.java,33
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.ObjenesisException,ObjenesisException,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\basic\ObjectInputStreamInstantiator.java,169
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.ObjectInputStream,ObjectInputStream,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\gcj\GCJInstantiatorBase.java,36
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.instantiator.perc.PercInstantiator,newInstanceMethod,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\perc\PercInstantiator.java,48
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.instantiator.ObjectInstantiator,ObjectInstantiator,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\ObjenesisBase.java,35
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.ObjectInputStream,ObjectInputStream,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\perc\PercSerializationInstantiator.java,58
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.ByteArrayOutputStream,toByteArray,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\basic\ObjectInputStreamInstantiator.java,74
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,org.objenesis.instantiator.gcj.GCJInstantiatorBase.DummyStream,DummyStream,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\gcj\GCJInstantiatorBase.java,46
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\util\ClassUtils.java,70
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.ObjectStreamClass,ObjectStreamClass,C:\Users\tyin363\Documents\repos\easymock__objenesis\main\src\main\java\org\objenesis\instantiator\basic\ObjectStreamClassInstantiator.java,44
