Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate.CandidateType,CandidateType,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,116
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.objenesis.tck.Candidate,clazz,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\Candidate.java,38
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate,Candidate,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\Candidate.java,26
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.candidates.SerializableReplacer,SerializableReplacer,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\candidates\SerializableResolver.java,28
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.TextReporter,objenesisStandard,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,142
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,length,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\ClassEnumerator.java,41
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.TCK,objenesisSerializer,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TCK.java,111
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.objenesis.tck.TextReporter.Result,candidate,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,56
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate.CandidateType,CandidateType,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\AbstractLoader.java,80
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.Candidate,description,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\Candidate.java,76
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.TextReporter,objenesisSerializer,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,143
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate.CandidateType,CandidateType,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\Candidate.java,35
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,229
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.PrintStream,PrintStream,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\AbstractLoader.java,51
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.objenesis.tck.Candidate,getDescription,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TCK.java,97
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\SearchWorkingInstantiatorListener.java,27
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.Candidate,clazz,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\Candidate.java,66
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\SearchWorkingInstantiator.java,59
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate,Candidate,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,75
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,isAssignableFrom,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TCK.java,128
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.TCK,objenesisStandard,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TCK.java,111
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map.Entry,getKey,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,148
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,org.objenesis.tck.search.SearchWorkingInstantiator,SearchWorkingInstantiator,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\SearchWorkingInstantiator.java,42
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.TextReporter,log,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,206
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,214
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.features.AbstractFeature,called,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\features\ReadExternalNotCalled.java,35
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.features.AbstractFeature,called,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\features\ReadObjectNotCalled.java,31
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.objenesis.tck.TextReporter,pad,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,174
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Enumeration,nextElement,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\ClassEnumerator.java,122
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.File,list,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\ClassEnumerator.java,35
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate,Candidate,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TCK.java,148
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.features.NotSerializableClass.NotSerializable,NotSerializable,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\features\ExtendsNotSerializableParentClass.java,38
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TCK.java,150
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.features.AbstractFeature,AbstractFeature,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\features\ReadObjectNotCalled.java,27
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\Candidate.java,80
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\Candidate.java,47
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate,Candidate,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,41
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.features.AbstractFeature,called,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\features\ExtendsNotSerializableParentClass.java,31
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.search.SystemOutListener,PATTERN,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\SystemOutListener.java,38
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.features.ExtendsNotSerializableParentClass.ExtendsNotSerializable,ExtendsNotSerializable,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\features\ExtendsNotSerializableParentClass.java,37
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.objenesis.tck.TextReporter.Result,result,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,58
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.features.NotSerializableClass,NotSerializableClass,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\features\ExtendsNotSerializableParentClass.java,38
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate,Candidate,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,107
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.ObjectInputStream,ObjectInputStream,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\features\ReadObjectNotCalled.java,30
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.TextReporter,log,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,209
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.ObjectInput,ObjectInput,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\features\ReadExternalNotCalled.java,39
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.lang.RuntimeException,RuntimeException,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\SearchWorkingInstantiator.java,75
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.objenesis.tck.TextReporter.Result,type,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,204
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\candidates\ConstructorWithMandatoryArguments.java,23
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\SystemOutListener.java,32
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.features.ExtendsSerializableClass.ExtendsSerializable,ExtendsSerializable,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\features\ExtendsSerializableClass.java,29
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TCK.java,70
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Reporter,Reporter,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TCK.java,136
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.objenesis.tck.TextReporter,startTime,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,98
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate.CandidateType,CandidateType,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\AbstractLoader.java,116
CLIENT:client-code:N/A:N/A,NameExpr,org.objenesis.tck.search.SearchWorkingInstantiator,listener,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\SearchWorkingInstantiator.java,85
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.jar.JarFile,JarFile,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\search\ClassEnumerator.java,58
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\AbstractLoader.java,60
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,211
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate.CandidateType,CandidateType,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\Candidate.java,37
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.objenesis.tck.Candidate.CandidateType,CandidateType,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TCK.java,127
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.PrintStream,PrintStream,C:\Users\tyin363\Documents\repos\easymock__objenesis\tck\src\main\java\org\objenesis\tck\TextReporter.java,85
