Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.eclipse.milo.examples.server.types.CustomStructType,CustomStructType,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\types\CustomStructType.java,122
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,org.eclipse.milo.examples.server.AttributeLoggingFilter,AttributeLoggingFilter,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\ExampleNamespace.java,525
CLIENT:client-code:N/A:N/A,NameExpr,org.eclipse.milo.examples.server.ExampleServer,server,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\ExampleServer.java,199
CLIENT:client-code:N/A:N/A,NameExpr,org.eclipse.milo.examples.server.ExampleNamespace,subscriptionModel,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\ExampleNamespace.java,1262
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.eclipse.milo.examples.server.ExampleData,STATIC_ARRAY_NODES,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\ExampleNamespace.java,251
CLIENT:client-code:N/A:N/A,NameExpr,org.eclipse.milo.examples.server.types.CustomStructType,bar,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\types\CustomStructType.java,114
JDK:java.base:N/A:N/A,MethodCallExpr,java.nio.file.Paths,get,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\ExampleServer.java,93
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.eclipse.milo.examples.server.types.CustomStructType,TYPE_ID,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\ExampleNamespace.java,1122
CLIENT:client-code:N/A:N/A,NameExpr,org.eclipse.milo.examples.server.types.CustomStructType,BINARY_ENCODING_ID,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\types\CustomStructType.java,80
CLIENT:client-code:N/A:N/A,NameExpr,org.eclipse.milo.examples.server.types.CustomStructType,foo,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\types\CustomStructType.java,58
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.eclipse.milo.examples.server.AttributeLoggingFilter,AttributeLoggingFilter,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\ExampleNamespace.java,275
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Throwable,printStackTrace,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\ExampleServer.java,72
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.eclipse.milo.examples.server.types.CustomStructType,bar,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\types\CustomStructType.java,52
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.eclipse.milo.examples.server.types.CustomStructType.Codec,Codec,C:\Users\tyin363\Documents\repos\eclipse-milo__milo\milo-examples\server-examples\src\main\java\org\eclipse\milo\examples\server\ExampleNamespace.java,856
