Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.ssssssss:magic-api,2.2.2,true,ClassOrInterfaceType,org.ssssssss.magicapi.core.interceptor.Authorization,Authorization,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,119
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\EruptMagicApiAutoConfiguration.java,48
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\action\MagicApiTpl.java,36
,,false,MethodCallExpr,xyz.erupt.core.module.ModuleInfo.ModuleInfoBuilder,build,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\EruptMagicApiAutoConfiguration.java,42
JDK:java.base,N/A,false,MethodCallExpr,java.util.Collection,stream,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,107
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Stream,noneMatch,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,60
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.concurrent.atomic.AtomicInteger,AtomicInteger,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\EruptMagicApiAutoConfiguration.java,58
CLIENT:client-code,N/A,false,FieldAccessExpr,xyz.erupt.magicapi.EruptMagicApiAutoConfiguration,MAGIC_API_MENU_PREFIX,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,92
xyz.erupt:erupt-core,1.12.23,true,ClassOrInterfaceType,xyz.erupt.core.module.EruptModule,EruptModule,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\EruptMagicApiAutoConfiguration.java,28
org.ssssssss:magic-api,2.2.2,true,ClassOrInterfaceType,org.ssssssss.magicapi.core.model.JsonBean,JsonBean,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,51
org.ssssssss:magic-api,2.2.2,true,MethodCallExpr,org.ssssssss.magicapi.core.model.Options,getValue,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,108
xyz.erupt:erupt-core,1.12.23,true,ObjectCreationExpr,xyz.erupt.core.exception.EruptWebApiRuntimeException,EruptWebApiRuntimeException,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,100
org.ssssssss:magic-api,2.2.2,true,MethodCallExpr,org.ssssssss.magicapi.core.model.BaseDefinition,getValue,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,107
org.ssssssss:magic-api,2.2.2,true,ClassOrInterfaceType,org.ssssssss.magicapi.function.model.FunctionInfo,FunctionInfo,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,120
org.ssssssss:magic-api,2.2.2,true,ClassOrInterfaceType,org.ssssssss.magicapi.datasource.model.DataSourceInfo,DataSourceInfo,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,124
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,put,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\EruptMagicApiAutoConfiguration.java,53
JDK:java.base,N/A,false,MethodCallExpr,java.util.List,add,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\EruptMagicApiAutoConfiguration.java,65
xyz.erupt:erupt-upms,1.12.23,false,MethodCallExpr,xyz.erupt.upms.service.EruptUserService,getSimpleUserInfoByToken,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,80
xyz.erupt:erupt-core,1.12.23,true,MethodCallExpr,xyz.erupt.core.module.MetaMenu,createSimpleMenu,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\EruptMagicApiAutoConfiguration.java,60
org.ssssssss:magic-api,2.2.2,true,ClassOrInterfaceType,org.ssssssss.magicapi.core.servlet.MagicHttpServletRequest,MagicHttpServletRequest,C:\Users\tyin363\Documents\repos\erupts__erupt\erupt-extra\erupt-magic-api\src\main\java\xyz\erupt\magicapi\interceptor\EruptMagicAPIRequestInterceptor.java,89
