Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,FieldAccessExpr,com.plumelog.core.lucene.LuceneClient,localpath,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,48
org.apache.lucene:lucene-core:jar:7.7.3,MethodCallExpr,org.apache.lucene.index.IndexWriter,addDocuments,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,71
org.apache.lucene:lucene-grouping:jar:7.7.3,ObjectCreationExpr,org.apache.lucene.search.grouping.GroupingSearch,GroupingSearch,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,368
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Iterator,Iterator,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,316
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Collection,Collection,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,111
org.apache.lucene:lucene-core:jar:7.7.3,ObjectCreationExpr,org.apache.lucene.document.StoredField,StoredField,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,101
,ClassOrInterfaceType,org.apache.lucene.search.BooleanQuery.Builder,Builder,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,199
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,put,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,236
org.apache.lucene:lucene-core:jar:7.7.3,MethodCallExpr,org.apache.lucene.store.FSDirectory,open,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,357
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.regex.Pattern,matches,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,173
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,386
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Collection,add,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,106
org.apache.lucene:lucene-core:jar:7.7.3,ClassOrInterfaceType,org.apache.lucene.util.BytesRef,BytesRef,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,379
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,287
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,74
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Iterator,hasNext,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,403
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,contains,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,167
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Throwable,printStackTrace,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,75
org.apache.lucene:lucene-core:jar:7.7.3,MethodCallExpr,org.apache.lucene.document.Document,add,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,126
org.apache.lucene:lucene-core:jar:7.7.3,MethodCallExpr,org.apache.lucene.index.IndexWriter,deleteAll,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,144
org.apache.lucene:lucene-core:jar:7.7.3,MethodCallExpr,org.apache.lucene.document.Document,add,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,93
org.apache.lucene:lucene-core:jar:7.7.3,ClassOrInterfaceType,org.apache.lucene.store.Directory,Directory,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,428
org.apache.lucene:lucene-core:jar:7.7.3,ClassOrInterfaceType,org.apache.lucene.document.Document,Document,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,86
org.apache.lucene:lucene-core:jar:7.7.3,ObjectCreationExpr,org.apache.lucene.search.IndexSearcher,IndexSearcher,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,431
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,164
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,472
com.plumelog:plumelog-core:jar:3.5.3,MethodCallExpr,com.plumelog.core.util.GfJsonUtil,toJSONString,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,446
org.apache.lucene:lucene-core:jar:7.7.3,ObjectCreationExpr,org.apache.lucene.search.WildcardQuery,WildcardQuery,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,366
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,462
org.apache.lucene:lucene-core:jar:7.7.3,ObjectCreationExpr,org.apache.lucene.search.WildcardQuery,WildcardQuery,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,432
net.sf.json-lib:json-lib:jar:jdk15:2.4,ClassOrInterfaceType,net.sf.json.JSONObject,JSONObject,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,250
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.UUID,randomUUID,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,115
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,put,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,235
org.apache.lucene:lucene-core:jar:7.7.3,ClassOrInterfaceType,org.apache.lucene.search.SortField,SortField,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,287
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,388
com.plumelog:plumelog-core:jar:3.5.3,ClassOrInterfaceType,com.plumelog.core.dto.RunLogMessage,RunLogMessage,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,85
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.File,File,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,168
org.apache.lucene:lucene-core:jar:7.7.3,ClassOrInterfaceType,org.apache.lucene.analysis.TokenStream,TokenStream,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,319
org.apache.lucene:lucene-core:jar:7.7.3,MethodCallExpr,org.apache.lucene.document.Document,add,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,92
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.List,get,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,357
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,386
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.plumelog.core.lucene.QueryRs,setHits,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,239
org.apache.lucene:lucene-core:jar:7.7.3,MethodCallExpr,org.apache.lucene.document.Document,add,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,125
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,308
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.List,add,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,179
com.plumelog:plumelog-core:jar:3.5.3,MethodCallExpr,com.plumelog.core.dto.RunLogMessage,getDateTime,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,99
net.sf.json-lib:json-lib:jar:jdk15:2.4,MethodCallExpr,net.sf.json.JSONArray,getJSONObject,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-lucene\src\main\java\com\plumelog\core\lucene\LuceneClient.java,250
