Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\AbstractAspect.java,26
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Throwable,Throwable,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\TraceAspect.java,22
com.plumelog:plumelog-core,3.5.3,false,FieldAccessExpr,com.plumelog.core.constant.LogMessageConstant,TRACE_START,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\AbstractAspect.java,32
org.slf4j:slf4j-api,1.7.26,true,MethodCallExpr,org.slf4j.LoggerFactory,getLogger,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\AbstractAspect.java,22
com.plumelog:plumelog-core,3.5.3,false,FieldAccessExpr,com.plumelog.core.constant.LogMessageConstant,TRACE_END,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\AbstractAspect.java,40
com.alibaba:transmittable-thread-local,2.11.5,true,MethodCallExpr,com.alibaba.ttl.TransmittableThreadLocal,get,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\AbstractAspect.java,25
org.aspectj:aspectjweaver,1.9.4,true,ClassOrInterfaceType,org.aspectj.lang.JoinPoint,JoinPoint,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\TraceAspect.java,22
,,false,MethodCallExpr,com.plumelog.trace.aspect.AbstractAspect,aroundExecute,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\TraceAspect.java,23
,,false,ClassOrInterfaceType,com.plumelog.trace.aspect.AbstractAspect,AbstractAspect,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\AbstractAspect.java,22
org.aspectj:aspectjweaver,1.9.4,true,MethodCallExpr,org.aspectj.lang.Signature,toString,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\AbstractAspect.java,31
org.slf4j:slf4j-api,1.7.26,true,ClassOrInterfaceType,org.slf4j.Logger,Logger,C:\Users\tyin363\Documents\repos\fayechenlong__plumelog\plumelog-trace\src\main\java\com\plumelog\trace\aspect\AbstractAspect.java,22
