Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.google.testing.junit.testparameterinjector.junit5.TestParameterAnnotationMethodProcessor.AnnotationWithMetadata,AnnotationWithMetadata,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParameterAnnotationMethodProcessor.java,183
JDK:java.base,N/A,false,MethodCallExpr,java.nio.charset.Charset,forName,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\ParameterValueParsing.java,189
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,format,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\ParameterValueParsing.java,330
com.google.guava:guava,32.0.0-jre,false,MethodCallExpr,com.google.common.collect.ImmutableMap,values,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\ByteStringReflection.java,74
JDK:java.base,N/A,false,MethodCallExpr,java.time.Duration,ofNanos,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\ParameterValueParsing.java,448
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.google.testing.junit.testparameterinjector.junit5.TestParameterAnnotation,TestParameterAnnotation,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParameterAnnotationMethodProcessor.java,508
com.google.guava:guava,32.0.0-jre,false,MethodCallExpr,com.google.common.collect.FluentIterable,filter,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestInfo.java,148
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.google.testing.junit.testparameterinjector.junit5.TestParameterValueProvider,TestParameterValueProvider,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParameter.java,155
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.annotation.Annotation,Annotation,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\GenericParameterContext.java,167
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParameterAnnotationMethodProcessor.java,311
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\BaseTestParameterValidator.java,69
JDK:java.base,N/A,false,ObjectCreationExpr,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\ParameterValueParsing.java,378
CLIENT:client-code,N/A,false,MethodCallExpr,com.google.testing.junit.testparameterinjector.junit5.TestParameterAnnotationMethodProcessor.TestParameterValueHolder,paramName,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParameterAnnotationMethodProcessor.java,1115
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.reflect.Parameter,Parameter,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParametersMethodProcessor.java,383
CLIENT:client-code,N/A,false,MethodCallExpr,com.google.testing.junit.testparameterinjector.junit5.TestInfo,getTestClass,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParameterInjectorExtension.java,85
CLIENT:client-code,N/A,false,MethodCallExpr,com.google.testing.junit.testparameterinjector.junit5.TestMethodProcessor,validateTestMethod,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestMethodProcessorList.java,142
com.google.guava:guava,32.0.0-jre,false,MethodCallExpr,com.google.common.collect.FluentIterable,transformAndConcat,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParameterAnnotationMethodProcessor.java,386
com.google.guava:guava,32.0.0-jre,false,MethodCallExpr,com.google.common.primitives.Primitives,wrap,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\ParameterValueParsing.java,321
JDK:java.base,N/A,false,MethodCallExpr,java.util.List,isEmpty,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParameterAnnotationMethodProcessor.java,126
JDK:java.base,N/A,false,MethodCallExpr,java.time.Duration,ofMillis,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\ParameterValueParsing.java,409
com.google.guava:guava,32.0.0-jre,false,ClassOrInterfaceType,com.google.common.collect.ImmutableList,ImmutableList,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParametersMethodProcessor.java,214
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParametersMethodProcessor.java,168
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestInfo.java,110
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\ParameterValueParsing.java,102
com.google.guava:guava,32.0.0-jre,false,MethodCallExpr,com.google.common.collect.FluentIterable,from,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParameterAnnotationMethodProcessor.java,787
com.google.guava:guava,32.0.0-jre,false,ClassOrInterfaceType,com.google.common.collect.ImmutableList,ImmutableList,C:\Users\tyin363\Documents\repos\google__TestParameterInjector\junit5\src\main\java\com\google\testing\junit\testparameterinjector\junit5\TestParameterAnnotationMethodProcessor.java,1061
