Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,FieldAccessExpr,com.google.api.ads.common.lib.soap.axis.AxisModule,configurationHelper,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\AxisModule.java,52
javax.xml:jaxrpc-api,1.1,false,FieldAccessExpr,javax.xml.rpc.Stub,ENDPOINT_ADDRESS_PROPERTY,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\AxisHandler.java,70
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\HttpHandler.java,158
org.apache.axis:axis,1.4,false,MethodCallExpr,org.apache.axis.client.Stub,_setProperty,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\AxisHandler.java,166
org.apache.axis:axis,1.4,false,MethodCallExpr,org.apache.axis.MessageContext,getResponseMessage,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\AxisHandler.java,249
com.google.http-client:google-http-client,1.23.0,false,MethodCallExpr,com.google.api.client.http.HttpHeaders,setContentEncoding,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\HttpHandler.java,168
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\AxisHandler.java,118
CLIENT:client-code,N/A,false,MethodCallExpr,com.google.api.ads.common.lib.soap.axis.HttpHandler,createResponseMessage,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\HttpHandler.java,85
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\AxisHandler.java,199
org.apache.axis:axis,1.4,false,FieldAccessExpr,org.apache.axis.transport.http.HTTPConstants,COMPRESSION_GZIP,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\HttpHandler.java,168
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.google.api.ads.common.lib.soap.axis.conf.AdsAxisEngineConfigurationFactory,AdsAxisEngineConfigurationFactory,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\AxisModule.java,58
org.apache.axis:axis,1.4,false,ClassOrInterfaceType,org.apache.axis.configuration.FileProvider,FileProvider,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\conf\AdsAxisEngineConfigurationFactory.java,44
CLIENT:client-code,N/A,false,MethodCallExpr,com.google.api.ads.common.lib.soap.axis.HttpHandler,setHttpRequestHeaders,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\HttpHandler.java,139
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Object,getClass,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\AxisHandler.java,199
org.apache.axis:axis,1.4,false,ClassOrInterfaceType,org.apache.axis.client.Service,Service,C:\Users\tyin363\Documents\repos\googleads__googleads-java-lib\modules\ads_lib_axis\src\main\java\com\google\api\ads\common\lib\soap\axis\AxisHandler.java,196
