Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.google.android:android:jar:4.1.1.4,MethodCallExpr,android.util.JsonReader,peek,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonParser.java,154
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.Writer,Writer,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonFactory.java,103
CLIENT:client-code:N/A:N/A,NameExpr,com.google.api.client.extensions.android.json.AndroidJsonParser,currentToken,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonParser.java,136
CLIENT:client-code:N/A:N/A,NameExpr,com.google.api.client.extensions.android.json.AndroidJsonGenerator,writer,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonGenerator.java,49
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.google.api.client.extensions.android.json.AndroidJsonFactory,createJsonGenerator,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonFactory.java,99
com.google.http-client:google-http-client:jar:2.0.0,ClassOrInterfaceType,com.google.api.client.json.JsonGenerator,JsonGenerator,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonGenerator.java,36
CLIENT:client-code:N/A:N/A,NameExpr,com.google.api.client.extensions.android.json.AndroidJsonGenerator,factory,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonGenerator.java,59
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.google.api.client.extensions.android.json.AndroidJsonFactory,AndroidJsonFactory,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonGenerator.java,38
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,indexOf,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonParser.java,200
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonGenerator.java,108
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Long,parseLong,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonParser.java,121
CLIENT:client-code:N/A:N/A,NameExpr,com.google.api.client.extensions.android.util.store.FileDataStoreFactory,LOGGER,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\util\store\FileDataStoreFactory.java,133
CLIENT:client-code:N/A:N/A,NameExpr,com.google.api.client.extensions.android.json.AndroidJsonParser,currentToken,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonParser.java,219
CLIENT:client-code:N/A:N/A,NameExpr,com.google.api.client.extensions.android.json.AndroidJsonParser,currentText,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonParser.java,121
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.google.api.client.extensions.android.json.AndroidJsonFactory,createJsonParser,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-android\src\main\java\com\google\api\client\extensions\android\json\AndroidJsonFactory.java,82
