Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code,N/A,false,FieldAccessExpr,com.google.api.client.http.apache.v2.ApacheHttpRequest,request,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpRequest.java,37
org.apache.httpcomponents:httpclient,4.5.14,false,MethodCallExpr,org.apache.http.impl.client.HttpClientBuilder,create,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpTransport.java,163
org.apache.httpcomponents:httpclient,4.5.14,false,ClassOrInterfaceType,org.apache.http.impl.client.CloseableHttpClient,CloseableHttpClient,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpTransport.java,212
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpRequest.java,48
org.apache.httpcomponents:httpclient,4.5.14,false,ClassOrInterfaceType,org.apache.http.client.methods.HttpRequestBase,HttpRequestBase,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpResponse.java,28
org.apache.httpcomponents:httpclient,4.5.14,false,ClassOrInterfaceType,org.apache.http.client.methods.HttpPost,HttpPost,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpTransport.java,191
com.google.http-client:google-http-client,2.0.0,false,FieldAccessExpr,com.google.api.client.http.HttpMethods,PATCH,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpTransport.java,188
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\HttpExtensionMethod.java,29
org.apache.httpcomponents:httpcore,4.4.16,false,MethodCallExpr,org.apache.http.HttpEntityEnclosingRequest,setEntity,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpRequest.java,70
org.apache.httpcomponents:httpcore,4.4.16,false,MethodCallExpr,org.apache.http.HttpResponse,getEntity,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpResponse.java,46
com.google.http-client:google-http-client,2.0.0,false,MethodCallExpr,com.google.api.client.http.LowLevelHttpRequest,getContentLength,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpRequest.java,67
org.apache.httpcomponents:httpclient,4.5.14,false,MethodCallExpr,org.apache.http.impl.client.HttpClientBuilder,setMaxConnPerRoute,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpTransport.java,163
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpTransport.java,180
com.google.http-client:google-http-client,2.0.0,false,FieldAccessExpr,com.google.api.client.http.HttpMethods,OPTIONS,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpTransport.java,196
,,false,MethodCallExpr,org.apache.http.client.config.RequestConfig.Builder,setStaleConnectionCheckEnabled,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpRequest.java,40
org.apache.httpcomponents:httpclient,4.5.14,false,MethodCallExpr,org.apache.http.client.config.RequestConfig,custom,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpRequest.java,40
com.google.http-client:google-http-client,2.0.0,false,FieldAccessExpr,com.google.api.client.http.HttpMethods,PUT,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpTransport.java,192
org.apache.httpcomponents:httpclient,4.5.14,false,ClassOrInterfaceType,org.apache.http.client.HttpClient,HttpClient,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-apache-v2\src\main\java\com\google\api\client\http\apache\v2\ApacheHttpTransport.java,58
