Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.google.api.client.extensions.appengine.datastore.AppEngineDataStoreFactory.Builder,Builder,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\datastore\AppEngineDataStoreFactory.java,314
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.concurrent.locks.Lock,lock,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\datastore\AppEngineDataStoreFactory.java,152
com.google.http-client:google-http-client:jar:2.0.0,MethodCallExpr,com.google.api.client.util.Maps,newHashMap,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\datastore\AppEngineDataStoreFactory.java,160
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Iterable,Iterable,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\datastore\AppEngineDataStoreFactory.java,279
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\http\UrlFetchRequest.java,55
com.google.http-client:google-http-client:jar:2.0.0,FieldAccessExpr,com.google.api.client.http.HttpMethods,POST,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\http\UrlFetchTransport.java,121
,ClassOrInterfaceType,com.google.api.client.extensions.appengine.http.UrlFetchResponse,UrlFetchResponse,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\http\UrlFetchRequest.java,76
com.google.appengine:appengine-api-1.0-sdk:jar:2.0.32,MethodCallExpr,com.google.appengine.api.datastore.Blob,getBytes,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\datastore\AppEngineDataStoreFactory.java,132
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.concurrent.locks.ReentrantLock,ReentrantLock,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\datastore\AppEngineDataStoreFactory.java,107
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\googleapis__google-http-java-client\google-http-client-appengine\src\main\java\com\google\api\client\extensions\appengine\datastore\AppEngineDataStoreFactory.java,136
