Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
com.fasterxml.jackson.core:jackson-databind,2.19.0,false,MethodCallExpr,com.fasterxml.jackson.databind.JsonNode,get,C:\Users\tyin363\Documents\repos\gruelbox__transaction-outbox\transactionoutbox-jackson\src\main\java\com\gruelbox\transactionoutbox\jackson\TransactionOutboxEntryDeserializer.java,22
JDK:java.base,N/A,false,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\gruelbox__transaction-outbox\transactionoutbox-jackson\src\main\java\com\gruelbox\transactionoutbox\jackson\JacksonInvocationSerializer.java,62
com.fasterxml.jackson.core:jackson-databind,2.19.0,false,MethodCallExpr,com.fasterxml.jackson.databind.DeserializationContext,readTreeAsValue,C:\Users\tyin363\Documents\repos\gruelbox__transaction-outbox\transactionoutbox-jackson\src\main\java\com\gruelbox\transactionoutbox\jackson\TransactionOutboxEntryDeserializer.java,50
com.fasterxml.jackson.core:jackson-core,2.19.0,true,MethodCallExpr,com.fasterxml.jackson.core.ObjectCodec,treeAsTokens,C:\Users\tyin363\Documents\repos\gruelbox__transaction-outbox\transactionoutbox-jackson\src\main\java\com\gruelbox\transactionoutbox\jackson\CustomInvocationDeserializer.java,62
CLIENT:client-code,N/A,false,MethodCallExpr,com.gruelbox.transactionoutbox.jackson.JacksonInvocationSerializer,checkForOldSerialization,C:\Users\tyin363\Documents\repos\gruelbox__transaction-outbox\transactionoutbox-jackson\src\main\java\com\gruelbox\transactionoutbox\jackson\JacksonInvocationSerializer.java,49
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\gruelbox__transaction-outbox\transactionoutbox-jackson\src\main\java\com\gruelbox\transactionoutbox\jackson\CustomInvocationDeserializer.java,69
JDK:java.base,N/A,false,MethodCallExpr,java.util.regex.Pattern,compile,C:\Users\tyin363\Documents\repos\gruelbox__transaction-outbox\transactionoutbox-jackson\src\main\java\com\gruelbox\transactionoutbox\jackson\CustomInvocationDeserializer.java,21
CLIENT:client-code,N/A,false,FieldAccessExpr,com.gruelbox.transactionoutbox.jackson.JacksonInvocationSerializer,mapper,C:\Users\tyin363\Documents\repos\gruelbox__transaction-outbox\transactionoutbox-jackson\src\main\java\com\gruelbox\transactionoutbox\jackson\JacksonInvocationSerializer.java,32
JDK:java.base,N/A,false,MethodCallExpr,java.util.regex.Pattern,matcher,C:\Users\tyin363\Documents\repos\gruelbox__transaction-outbox\transactionoutbox-jackson\src\main\java\com\gruelbox\transactionoutbox\jackson\CustomInvocationDeserializer.java,71
com.fasterxml.jackson.core:jackson-core,2.19.0,true,MethodCallExpr,com.fasterxml.jackson.core.JsonParser,getCodec,C:\Users\tyin363\Documents\repos\gruelbox__transaction-outbox\transactionoutbox-jackson\src\main\java\com\gruelbox\transactionoutbox\jackson\CustomInvocationDeserializer.java,73
