Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreference.java,81
com.apple:AppleJavaExtensions:jar:1.4,ClassOrInterfaceType,com.apple.eawt.Application,Application,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleBounce.java,101
com.apple:AppleJavaExtensions:jar:1.4,ClassOrInterfaceType,com.apple.eawt.Application,Application,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,65
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.jivesoftware.spark.plugin.apple.ApplePlugin,sparkIsIdle,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,212
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.jivesoftware.spark.plugin.apple.AppleBounce,AppleBounce,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,76
JDK:java.base:N/A:N/A,MethodCallExpr,javax.swing.AbstractButton,setSelected,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,71
JDK:java.base:N/A:N/A,ObjectCreationExpr,javax.swing.JPanel,JPanel,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,42
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePreferencePanel,_dockbadges,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,45
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.jivesoftware.spark.plugin.apple.ApplePreferencePanel,ApplePreferencePanel,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreference.java,40
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.ClassLoader,getResource,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreference.java,69
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleTest.java,96
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Timer,Timer,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,209
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Thread,sleep,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleBounce.java,51
JDK:java.base:N/A:N/A,ObjectCreationExpr,javax.swing.JCheckBox,JCheckBox,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,45
JDK:java.base:N/A:N/A,MethodCallExpr,javax.swing.AbstractButton,isSelected,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,84
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.File,File,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleProperties.java,51
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePlugin,_applebounce,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,135
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.awt.Window,Window,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,138
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.TimerTask,TimerTask,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,210
CLIENT:client-code:N/A:N/A,ObjectCreationExpr,com.jivesoftware.spark.plugin.apple.ApplePlugin.Anonymous-55d6d55e-c545-49e5-8321-29b4169e2e08,Anonymous-55d6d55e-c545-49e5-8321-29b4169e2e08,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,151
JDK:java.base:N/A:N/A,MethodCallExpr,javax.swing.AbstractButton,isSelected,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,67
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePlugin,_application,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,86
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePreference,_props,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreference.java,102
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePreferencePanel,_repeatedbouncing,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,88
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.awt.event.ComponentEvent,ComponentEvent,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,152
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.jivesoftware.spark.plugin.apple.ApplePlugin,setAvailableIfActive,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,222
com.apple:AppleJavaExtensions:jar:1.4,ClassOrInterfaceType,com.apple.eawt.Application,Application,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleBounce.java,36
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.AppleProperties,DOCKBOUNCE,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleProperties.java,71
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Properties,getProperty,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleProperties.java,90
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.File,File,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleProperties.java,34
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.AppleProperties,REPEATDOCKBOUNCE,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleProperties.java,75
JDK:java.base:N/A:N/A,ObjectCreationExpr,javax.swing.JLabel,JLabel,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,59
JDK:java.base:N/A:N/A,MethodCallExpr,javax.swing.LookAndFeel,getName,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleTest.java,39
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.jivesoftware.spark.plugin.apple.AppleBounce,bounceDockIcon,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,135
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.jivesoftware.spark.plugin.apple.AppleProperties,AppleProperties,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreference.java,38
JDK:java.base:N/A:N/A,MethodCallExpr,javax.swing.AbstractButton,setSelected,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,88
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.awt.Insets,Insets,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,54
com.apple:AppleJavaExtensions:jar:1.4,ObjectCreationExpr,com.apple.eawt.ApplicationAdapter,ApplicationAdapter,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,88
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePlugin,unavailable,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,262
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePreference,_props,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreference.java,103
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePreferencePanel,_dockbouncing,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,62
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.AppleProperties,props,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleProperties.java,90
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,296
JDK:java.base:N/A:N/A,FieldAccessExpr,java.awt.GridBagConstraints,BOTH,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,55
com.apple:AppleJavaExtensions:jar:1.4,ObjectCreationExpr,com.apple.eawt.Application,Application,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleBounce.java,36
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.InterruptedException,InterruptedException,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleBounce.java,58
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.jivesoftware.spark.plugin.apple.ApplePlugin,setActivity,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,153
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.ClassLoader,ClassLoader,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,49
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.jivesoftware.spark.plugin.apple.AppleDock,AppleDock,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,77
JDK:java.base:N/A:N/A,ObjectCreationExpr,javax.swing.JLabel,JLabel,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,58
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePlugin,unavailable,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,280
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePreferencePanel,_dockbouncing,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,75
JDK:java.base:N/A:N/A,MethodCallExpr,java.awt.Menu,add,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleDock.java,46
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.jivesoftware.spark.plugin.apple.AppleBounce,AppleBounce,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,57
JDK:java.base:N/A:N/A,ClassOrInterfaceType,javax.swing.JLabel,JLabel,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,58
CLIENT:client-code:N/A:N/A,MethodCallExpr,com.jivesoftware.spark.plugin.apple.AppleBounce,getMessageCount,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleBounce.java,49
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.awt.Insets,Insets,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,55
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,com.jivesoftware.spark.plugin.apple.AppleProperties,AppleProperties,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleBounce.java,32
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePlugin,_application,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,84
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePlugin,lastActive,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePlugin.java,241
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePreference,_props,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreference.java,104
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.awt.GridBagLayout,GridBagLayout,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,42
JDK:java.base:N/A:N/A,ObjectCreationExpr,javax.swing.JCheckBox,JCheckBox,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,47
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.AppleBounce,_app,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\AppleBounce.java,42
CLIENT:client-code:N/A:N/A,NameExpr,com.jivesoftware.spark.plugin.apple.ApplePreference,_prefpanel,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreference.java,40
JDK:java.base:N/A:N/A,ClassOrInterfaceType,javax.swing.ImageIcon,ImageIcon,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreferencePanel.java,51
JDK:java.base:N/A:N/A,MethodCallExpr,javax.swing.ImageIcon,getImage,C:\Users\tyin363\Documents\repos\igniterealtime__Spark\plugins\apple\src\main\java\com\jivesoftware\spark\plugin\apple\ApplePreference.java,70
