Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.lang.ClassLoader,getResourceAsStream,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\component\Dictionary.java,29
CLIENT:client-code,N/A,false,FieldAccessExpr,com.intuit.fuzzymatcher.component.DocumentMatch,elementMatch,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\component\DocumentMatch.java,21
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\domain\Document.java,36
,,false,ClassOrInterfaceType,com.intuit.fuzzymatcher.domain.Match,Match,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\component\MatchService.java,78
,,false,ClassOrInterfaceType,com.intuit.fuzzymatcher.domain.Matchable,Matchable,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\domain\Element.java,30
,,false,FieldAccessExpr,com.intuit.fuzzymatcher.domain.Element,tokens,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\domain\Element.java,124
,,false,ClassOrInterfaceType,com.intuit.fuzzymatcher.domain.Match,Match,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\domain\Score.java,22
,,false,MethodCallExpr,com.intuit.fuzzymatcher.domain.Document,getPreProcessedElement,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\component\DocumentMatch.java,33
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\component\MatchService.java,29
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.AbstractMap.SimpleEntry,SimpleEntry,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\domain\Element.java,109
,,false,ClassOrInterfaceType,com.intuit.fuzzymatcher.domain.Element,Element,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\component\ElementMatch.java,36
,,false,ClassOrInterfaceType,com.intuit.fuzzymatcher.domain.Token,Token,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\component\TokenRepo.java,105
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Function,Function,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\function\TokenizerFunction.java,66
JDK:java.base,N/A,false,MethodCallExpr,java.lang.Class,getClassLoader,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\component\Dictionary.java,39
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Stream,flatMap,C:\Users\tyin363\Documents\repos\intuit__fuzzy-matcher\src\main\java\com\intuit\fuzzymatcher\component\DocumentMatch.java,47
