Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.apache.maven:maven-core,3.9.11,false,MethodCallExpr,org.apache.maven.project.MavenProjectHelper,attachArtifact,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,214
org.apache.maven:maven-plugin-api,3.9.11,false,MethodCallExpr,org.apache.maven.plugin.AbstractMojo,getLog,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,394
JDK:java.base,N/A,false,MethodCallExpr,java.util.Properties,stringPropertyNames,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,297
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,335
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,join,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,305
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,208
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,88
JDK:java.base,N/A,false,FieldAccessExpr,java.util.logging.Level,FINE,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,398
org.apache.maven:maven-plugin-api,3.9.11,false,MethodCallExpr,org.apache.maven.plugin.AbstractMojo,getLog,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,344
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,443
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,324
JDK:java.base,N/A,false,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,341
JDK:java.base,N/A,false,MethodCallExpr,java.util.List,add,C:\Users\tyin363\Documents\repos\izpack__izpack\izpack-maven-plugin\src\main\java\org\izpack\mojo\IzPackNewMojo.java,359
