Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\util\FilterObjectInputStream.java,30
,MethodCallExpr,com.n1ar4.agent.service.tomcat.info.EndPointUrlInfo,toUrlInfos,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\TomcatContextDiscovery.java,61
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,format,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\util\FieldUtils.java,407
,NameExpr,com.n1ar4.agent.dto.SourceResult,name,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,169
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,arthas.VmTool,VmTool,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\VmTool.java,26
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.concurrent.CopyOnWriteArrayList,toArray,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\TomcatContextDiscovery.java,44
CLIENT:client-code:N/A:N/A,NameExpr,arthas.core.view.Ansi.Color,value,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,50
CLIENT:client-code:N/A:N/A,MethodCallExpr,arthas.core.util.StringUtils,replace,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\SearchUtils.java,99
CLIENT:client-code:N/A:N/A,MethodCallExpr,arthas.core.view.Ansi,fgBright,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,439
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\util\ReflectUtils.java,29
,NameExpr,com.n1ar4.agent.dto.SourceResult,SourceResultTag,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,193
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\ServerDiscovery.java,49
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,66
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,split,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\UrlInfo.java,55
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.ArrayList,isEmpty,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\ServerDiscovery.java,30
,MethodCallExpr,com.n1ar4.agent.dto.SourceResult,getUrlInfos,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,152
,ObjectCreationExpr,com.n1ar4.agent.dto.UrlInfoAndDescMapValue,UrlInfoAndDescMapValue,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,195
,FieldAccessExpr,com.n1ar4.agent.Agent,PASSWORD,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\core\Task.java,238
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.concurrent.BlockingQueue,poll,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\ThreadLocalRandom.java,65
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,68
,FieldAccessExpr,com.n1ar4.agent.service.tomcat.TomcatServiceDiscovery,engine,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\TomcatServiceDiscovery.java,70
,MethodCallExpr,com.n1ar4.agent.vmtools.OSUtils,isArm64,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\vmtools\VmToolUtils.java,34
,ObjectCreationExpr,com.n1ar4.agent.dto.SourceResult,SourceResult,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\core\Task.java,94
CLIENT:client-code:N/A:N/A,MethodCallExpr,arthas.core.util.StringUtils,isEmpty,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\SearchUtils.java,95
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\util\FilterObjectInputStream.java,29
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,arthas.core.view.Ansi.NoAnsi,NoAnsi,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,166
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,isAssignableFrom,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\SearchUtils.java,118
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,equals,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\ObjectUtils.java,90
,ClassOrInterfaceType,com.n1ar4.agent.dto.SourceResultType,SourceResultType,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,77
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,hashCode,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,171
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\Agent.java,99
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.HashSet,HashSet,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\core\Task.java,38
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.StringBuilder,append,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\StringUtils.java,168
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.StringBuilder,toString,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\StringUtils.java,339
,MethodCallExpr,com.n1ar4.agent.service.tomcat.TomcatContextDiscovery,getSourceResults,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\TomcatServiceDiscovery.java,88
CLIENT:client-code:N/A:N/A,MethodCallExpr,arthas.core.view.Ansi.Color,bgBright,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,451
CLIENT:client-code:N/A:N/A,MethodCallExpr,arthas.core.view.Ansi,appendEscapeSequence,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,533
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\SearchUtils.java,63
CLIENT:client-code:N/A:N/A,FieldAccessExpr,arthas.core.util.Constants,EMPTY_STRING,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\StringUtils.java,54
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\StringUtils.java,982
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\TomcatContextDiscovery.java,24
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\TomcatContextDiscovery.java,137
CLIENT:client-code:N/A:N/A,MethodCallExpr,arthas.core.util.SearchUtils,searchClass,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\SearchUtils.java,59
,ObjectCreationExpr,com.n1ar4.agent.dto.SourceResult,SourceResult,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\TomcatContextDiscovery.java,123
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.StringBuilder,append,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,722
,ClassOrInterfaceType,com.n1ar4.agent.dto.UrlInfo,UrlInfo,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,67
,ClassOrInterfaceType,com.n1ar4.agent.core.Task,Task,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\Agent.java,97
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,printf,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\core\Task.java,183
,NameExpr,com.n1ar4.agent.service.tomcat.TomcatContextDiscovery,context,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\TomcatContextDiscovery.java,97
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.ArrayList,clear,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,707
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,64
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.System,arraycopy,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\util\Base64Util.java,260
,FieldAccessExpr,com.n1ar4.agent.dto.SourceResult,sourceClass,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,94
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\SearchUtils.java,64
,ObjectCreationExpr,com.n1ar4.agent.dto.UrlInfo,UrlInfo,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\info\HostInfo.java,38
,FieldAccessExpr,com.n1ar4.agent.dto.UrlInfo,description,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\UrlInfo.java,63
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,arthas.core.view.Ansi,Ansi,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,236
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\StringUtils.java,562
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.lang.StringBuilder,StringBuilder,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,335
,MethodCallExpr,com.n1ar4.agent.util.ReflectUtils,getDeclaredField,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\TomcatContextDiscovery.java,199
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,substring,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\StringUtils.java,878
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,arthas.core.view.Ansi,Ansi,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,368
CLIENT:client-code:N/A:N/A,NameExpr,arthas.core.view.Ansi,holder,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,155
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\core\Task.java,224
,NameExpr,com.n1ar4.agent.vmtools.OSUtils,OPERATING_SYSTEM_ARCH,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\vmtools\OSUtils.java,40
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.reflect.Method,Method,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\util\ReflectUtils.java,59
,FieldAccessExpr,com.n1ar4.agent.dto.SourceResult,methodInfo,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,102
,FieldAccessExpr,com.n1ar4.agent.service.tomcat.info.ContextInfo,parentHostInfo,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\info\ContextInfo.java,24
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getSuperclass,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\util\ReflectUtils.java,36
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.ArrayList,ArrayList,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\core\Task.java,157
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Set,Set,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\SearchUtils.java,135
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Arrays,equals,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\ObjectUtils.java,144
CLIENT:client-code:N/A:N/A,MethodCallExpr,arthas.core.view.Ansi,fg,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,377
CLIENT:client-code:N/A:N/A,NameExpr,arthas.core.view.Ansi,builder,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,617
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getDeclaredField,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\util\FieldUtils.java,278
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\StringUtils.java,980
JDK:java.base:N/A:N/A,ObjectCreationExpr,java.util.HashMap,HashMap,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\core\Task.java,65
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\dto\SourceResult.java,65
,FieldAccessExpr,com.n1ar4.agent.service.tomcat.info.ContextInfo,contextUrlInfoList,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\service\tomcat\info\ContextInfo.java,38
,MethodCallExpr,com.n1ar4.agent.util.FieldUtils,isTrue,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\com\n1ar4\agent\util\FieldUtils.java,260
CLIENT:client-code:N/A:N/A,NameExpr,arthas.core.util.matcher.WildcardMatcher,ASTERISK,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\matcher\WildcardMatcher.java,52
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Random,Random,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\util\ThreadLocalRandom.java,29
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.concurrent.Callable,Callable,C:\Users\tyin363\Documents\repos\jar-analyzer__jar-analyzer\agent\src\main\java\arthas\core\view\Ansi.java,126
