Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,31
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.System,out,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,35
javax.json:javax.json-api:jar:1.0,ClassOrInterfaceType,javax.json.JsonObject,JsonObject,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,31
javax.json:javax.json-api:jar:1.0,MethodCallExpr,javax.json.JsonReader,readObject,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,31
com.jcabi:jcabi-http:jar:1.0,MethodCallExpr,com.jcabi.http.Request,uri,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,26
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Map,get,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,38
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,35
com.jcabi:jcabi-http:jar:1.0,MethodCallExpr,com.jcabi.http.RequestURI,path,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,26
com.jcabi:jcabi-github:jar:0.7.2,ClassOrInterfaceType,com.jcabi.github.RtGithub,RtGithub,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,25
com.jcabi:jcabi-http:jar:1.0,MethodCallExpr,com.jcabi.http.RequestURI,back,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,26
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Exception,Exception,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,24
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,24
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Object,toString,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,38
javax.json:javax.json-api:jar:1.0,ClassOrInterfaceType,javax.json.JsonObject,JsonObject,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,34
com.jcabi:jcabi-http:jar:1.0,MethodCallExpr,com.jcabi.http.Request,fetch,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,26
com.jcabi:jcabi-github:jar:0.7.2,ClassOrInterfaceType,com.jcabi.github.Github,Github,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,25
com.jcabi:jcabi-http:jar:1.0,MethodCallExpr,com.jcabi.http.RequestURI,queryParam,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,26
com.jcabi:jcabi-github:jar:0.7.2,ObjectCreationExpr,com.jcabi.github.RtGithub,RtGithub,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,25
com.jcabi:jcabi-http:jar:1.0,MethodCallExpr,com.jcabi.http.response.JsonResponse,json,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,31
com.jcabi:jcabi-http:jar:1.0,ClassOrInterfaceType,com.jcabi.http.response.JsonResponse,JsonResponse,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,30
javax.json:javax.json-api:jar:1.0,MethodCallExpr,javax.json.JsonObject,getJsonArray,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,31
com.jcabi:jcabi-github:jar:0.7.2,MethodCallExpr,com.jcabi.github.Github,entry,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,26
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.String,format,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,36
javax.json:javax.json-api:jar:1.0,ClassOrInterfaceType,javax.json.JsonObject,JsonObject,C:\Users\tyin363\Documents\repos\jcabi__jcabi-github\examples\search-repos\src\main\java\com\jcabi\Main.java,33
