Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.jolokia.agent.osgi.JolokiaBundleActivator,logError,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,54
CLIENT:client-code:N/A:N/A,NameExpr,org.jolokia.agent.osgi.JolokiaBundleActivator,activators,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,27
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.PrintStream,println,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,82
CLIENT:client-code:N/A:N/A,NameExpr,org.jolokia.agent.osgi.JolokiaBundleActivator,activators,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,60
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,24
org.osgi:osgi.core:jar:8.0.0,ClassOrInterfaceType,org.osgi.framework.ServiceReference,ServiceReference,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,70
org.osgi:osgi.core:jar:8.0.0,ClassOrInterfaceType,org.osgi.framework.BundleActivator,BundleActivator,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,22
org.osgi:osgi.core:jar:8.0.0,ClassOrInterfaceType,org.osgi.framework.BundleContext,BundleContext,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,49
org.osgi:osgi.core:jar:8.0.0,ClassOrInterfaceType,org.osgi.framework.BundleActivator,BundleActivator,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,24
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Class,getName,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,70
org.osgi:osgi.core:jar:8.0.0,ClassOrInterfaceType,org.osgi.service.log.LogService,LogService,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,73
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Throwable,printStackTrace,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,83
org.osgi:osgi.core:jar:8.0.0,MethodCallExpr,org.osgi.framework.BundleActivator,stop,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,62
org.osgi:osgi.core:jar:8.0.0,MethodCallExpr,org.osgi.service.log.LogService,log,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,75
CLIENT:client-code:N/A:N/A,NameExpr,org.jolokia.agent.osgi.JolokiaBundleActivator,activators,C:\Users\tyin363\Documents\repos\jolokia__jolokia\agent\osgi\src\main\java\org\jolokia\agent\osgi\JolokiaBundleActivator.java,50
