Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.linguafranca.pwdb.kdb.KdbEntry,lastAccessTime,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbEntry.java,182
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Date,Date,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbEntry.java,169
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbSerializer.java,138
JDK:java.base:N/A:N/A,MethodCallExpr,java.util.Calendar,set,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbSerializer.java,366
CLIENT:client-code:N/A:N/A,NameExpr,org.linguafranca.pwdb.kdb.KdbHeader,transformRounds,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbHeader.java,137
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.linguafranca.pwdb.kdb.KdbHeader,transformRounds,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbHeader.java,141
CLIENT:client-code:N/A:N/A,FieldAccessExpr,org.linguafranca.pwdb.kdb.KdbEntry,binaryDescription,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbEntry.java,203
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.UnsupportedOperationException,UnsupportedOperationException,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbDatabase.java,154
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.linguafranca.pwdb.kdb.KdbEntry,setTitle,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbEntry.java,70
org.linguafranca.pwdb:database:jar:2.2.4,ClassOrInterfaceType,org.linguafranca.pwdb.Icon,Icon,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbIcon.java,26
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.DataInput,readFully,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbSerializer.java,419
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.linguafranca.pwdb.kdb.KdbGroup,setParent,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbSerializer.java,205
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.IllegalStateException,IllegalStateException,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbCredentials.java,72
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.DataInput,readInt,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbSerializer.java,126
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.linguafranca.pwdb.kdb.KdbGroup,KdbGroup,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbGroup.java,171
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.Object,Object,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbIcon.java,44
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbEntry.java,214
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.Date,Date,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbGroup.java,54
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbGroup.java,132
CLIENT:client-code:N/A:N/A,ClassOrInterfaceType,org.linguafranca.pwdb.kdb.KdbGroup,KdbGroup,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbDatabase.java,41
org.linguafranca.pwdb:database:jar:2.2.4,ClassOrInterfaceType,org.linguafranca.pwdb.base.AbstractEntry,AbstractEntry,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbEntry.java,35
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbEntry.java,82
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbEntry.java,49
org.linguafranca.pwdb:database:jar:2.2.4,MethodCallExpr,org.linguafranca.pwdb.security.Encryption,getSha256MessageDigestInstance,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbCredentials.java,61
com.google.guava:guava:jar:32.1.2-android,ClassOrInterfaceType,com.google.common.io.LittleEndianDataInputStream,LittleEndianDataInputStream,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbSerializer.java,82
CLIENT:client-code:N/A:N/A,NameExpr,org.linguafranca.pwdb.kdb.KdbEntry,creationTime,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbEntry.java,215
JDK:java.base:N/A:N/A,MethodCallExpr,java.io.DataInput,readFully,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbSerializer.java,154
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.DataInput,DataInput,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbSerializer.java,416
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.IOException,IOException,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbSerializer.java,172
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.IllegalStateException,IllegalStateException,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbSerializer.java,242
org.linguafranca.pwdb:database:jar:2.2.4,MethodCallExpr,org.linguafranca.pwdb.Group,isRootGroup,C:\Users\tyin363\Documents\repos\jorabin__KeePassJava2\kdb\src\main\java\org\linguafranca\pwdb\kdb\KdbGroup.java,116
