Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,MethodCallExpr,java.util.function.Predicate,test,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,50
JDK:java.base,N/A,false,MethodCallExpr,java.util.Collections,emptyMap,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,58
JDK:java.base,N/A,false,MethodCallExpr,java.util.Collection,stream,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,49
org.jpmml:pmml-evaluator,1.7.4,false,ClassOrInterfaceType,org.jpmml.evaluator.Function,Function,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,59
org.jpmml:pmml-evaluator,1.7.4,false,MethodCallExpr,org.jpmml.evaluator.FunctionRegistry,putFunction,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,51
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Stream,forEach,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,53
JDK:java.base,N/A,false,MethodCallExpr,java.util.Objects,equals,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,39
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Stream,forEach,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,49
org.jpmml:pmml-evaluator,1.7.4,false,MethodCallExpr,org.jpmml.evaluator.FunctionRegistry,putFunction,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,55
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getKey,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,51
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,58
CLIENT:client-code,N/A,false,FieldAccessExpr,org.jpmml.sklearn.evaluator.SkLearnFunctionRegistry,functionClazzes,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,53
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getKey,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,55
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getValue,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,51
JDK:java.base,N/A,false,MethodCallExpr,java.util.Collection,stream,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,53
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getValue,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,55
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,59
CLIENT:client-code,N/A,false,MethodCallExpr,org.jpmml.sklearn.evaluator.SkLearnFunctionRegistry,publish,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,39
CLIENT:client-code,N/A,false,MethodCallExpr,org.jpmml.sklearn.evaluator.SkLearnFunctionRegistry,publish,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,44
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,entrySet,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,53
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,38
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Stream,filter,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,53
org.jpmml:pmml-evaluator,1.7.4,false,ClassOrInterfaceType,org.jpmml.evaluator.Function,Function,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,58
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map,entrySet,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,49
JDK:java.base,N/A,false,MethodCallExpr,java.util.Collections,emptyMap,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,59
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,48
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.function.Predicate,Predicate,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,48
JDK:java.base,N/A,false,MethodCallExpr,java.util.stream.Stream,filter,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,49
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getKey,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,54
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,59
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Class,Class,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,59
CLIENT:client-code,N/A,false,FieldAccessExpr,org.jpmml.sklearn.evaluator.SkLearnFunctionRegistry,functions,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,49
JDK:java.base,N/A,false,MethodCallExpr,java.util.function.Predicate,test,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,54
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.Map,Map,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,58
JDK:java.base,N/A,false,MethodCallExpr,java.util.Map.Entry,getKey,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sklearn\pmml-sklearn-evaluator\src\main\java\org\jpmml\sklearn\evaluator\SkLearnFunctionRegistry.java,50
