Library_Name,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
org.apache.spark:spark-mllib_2.13:jar:4.0.0,ClassOrInterfaceType,org.apache.spark.ml.Model,Model,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\BoosterUtil.java,47
ml.dmlc:xgboost4j-spark_2.13:jar:3.0.2,ClassOrInterfaceType,ml.dmlc.xgboost4j.scala.spark.XGBoostClassificationModel,XGBoostClassificationModel,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\XGBoostClassificationModelConverter.java,29
ml.dmlc:xgboost4j-spark_2.13:jar:3.0.2,MethodCallExpr,ml.dmlc.xgboost4j.scala.spark.XGBoostRegressionModel,nativeBooster,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\XGBoostRegressionModelConverter.java,56
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.lang.RuntimeException,RuntimeException,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\BoosterUtil.java,95
CLIENT:client-code:N/A:N/A,MethodCallExpr,org.jpmml.sparkml.xgboost.BoosterUtil,encodeBooster,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\XGBoostClassificationModelConverter.java,53
JDK:java.base:N/A:N/A,FieldAccessExpr,java.lang.Boolean,TRUE,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\XGBoostRegressionModelConverter.java,69
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.util.LinkedHashMap,LinkedHashMap,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\BoosterUtil.java,71
JDK:java.base:N/A:N/A,ClassOrInterfaceType,java.io.InputStream,InputStream,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\BoosterUtil.java,57
ml.dmlc:xgboost4j-spark_2.13:jar:3.0.2,ClassOrInterfaceType,ml.dmlc.xgboost4j.scala.spark.XGBoostClassificationModel,XGBoostClassificationModel,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\XGBoostClassificationModelConverter.java,37
JDK:java.base:N/A:N/A,MethodCallExpr,java.lang.Object,getClass,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\BoosterUtil.java,86
org.jpmml:pmml-model:jar:1.7.4,ClassOrInterfaceType,org.dmg.pmml.OutputField,OutputField,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\XGBoostRegressionModelConverter.java,62
com.google.guava:guava:jar:33.4.8-jre,MethodCallExpr,com.google.common.io.MoreFiles,deleteRecursively,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\BoosterUtil.java,61
org.jpmml:pmml-converter:jar:1.6.3,ClassOrInterfaceType,org.jpmml.converter.Schema,Schema,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\XGBoostClassificationModelConverter.java,48
ml.dmlc:xgboost4j-spark_2.13:jar:3.0.2,ClassOrInterfaceType,ml.dmlc.xgboost4j.scala.spark.XGBoostRegressionModel,XGBoostRegressionModel,C:\Users\tyin363\Documents\repos\jpmml__jpmml-sparkml\pmml-sparkml-xgboost\src\main\java\org\jpmml\sparkml\xgboost\XGBoostRegressionModelConverter.java,63
