Library_Name,Version,Is_Transitive,Symbol_Type,Class_Name,Symbol_Name,Usage_Location,Line_Number
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.IllegalArgumentException,IllegalArgumentException,C:\Users\tyin363\Documents\repos\juejin-wuyang__memberclub\memberclub.domain\src\main\java\com\memberclub\domain\dataobject\outer\OuterSubmitStatusEnum.java,32
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.IllegalArgumentException,IllegalArgumentException,C:\Users\tyin363\Documents\repos\juejin-wuyang__memberclub\memberclub.domain\src\main\java\com\memberclub\domain\context\aftersale\contant\AftersaleUnableCode.java,41
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\juejin-wuyang__memberclub\memberclub.domain\src\main\java\com\memberclub\domain\dataobject\sku\SkuPerformConfigDO.java,19
JDK:java.base,N/A,false,ClassOrInterfaceType,java.util.List,List,C:\Users\tyin363\Documents\repos\juejin-wuyang__memberclub\memberclub.domain\src\main\java\com\memberclub\domain\context\perform\reverse\SubOrderReversePerformContext.java,21
,,false,ClassOrInterfaceType,com.memberclub.domain.facade.GrantItemDO,GrantItemDO,C:\Users\tyin363\Documents\repos\juejin-wuyang__memberclub\memberclub.domain\src\main\java\com\memberclub\domain\facade\GrantRequestDO.java,21
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.String,String,C:\Users\tyin363\Documents\repos\juejin-wuyang__memberclub\memberclub.domain\src\main\java\com\memberclub\domain\dataobject\perform\MemberPerformItemDO.java,26
JDK:java.base,N/A,false,ClassOrInterfaceType,java.lang.Integer,Integer,C:\Users\tyin363\Documents\repos\juejin-wuyang__memberclub\memberclub.domain\src\main\java\com\memberclub\domain\entity\trade\MemberSubOrder.java,38
CLIENT:client-code,N/A,false,ClassOrInterfaceType,com.memberclub.domain.common.BizTypeEnum,BizTypeEnum,C:\Users\tyin363\Documents\repos\juejin-wuyang__memberclub\memberclub.domain\src\main\java\com\memberclub\domain\context\purchase\PurchaseSubmitContext.java,36
JDK:java.base,N/A,false,MethodCallExpr,java.lang.System,currentTimeMillis,C:\Users\tyin363\Documents\repos\juejin-wuyang__memberclub\memberclub.domain\src\main\java\com\memberclub\domain\dataobject\perform\MemberSubOrderDO.java,79
,,false,FieldAccessExpr,com.memberclub.domain.dataobject.payment.PayStatusEnum,value,C:\Users\tyin363\Documents\repos\juejin-wuyang__memberclub\memberclub.domain\src\main\java\com\memberclub\domain\dataobject\payment\PayStatusEnum.java,49
